id,area,atclNo,atclNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclFetrDesc,tagList,bildNm
1,1,2426329376,디에이치퍼스티어아이파크,전세,11/32,320000,0,32억,220,171.65,남서향,66 O로얄동로얄층O조중석식O최대규모커뮤니티O근린공원O구룡역근접,"['2년이내', '대단지', '대형평수', '방네개이상']",104동
2,2,2426319116,디에이치퍼스티어아이파크,매매,21/26,430000,0,43억,144,112.85,남서향,44 뷰가 확 트여야 가치가  더 높습니다 입주가능한 매매 물건,"['2년이내', '대단지', '대형평수', '방네개이상']",146동
3,3,2426330636,디에이치퍼스티어아이파크,전세,12/35,250000,0,25억,169,132.81,남동향,51O뷰좋은집O커뮤니티바로연결O근린공원O생활편리동,"['2년이내', '대단지', '대형평수', '방네개이상']",101동
4,4,2426292674,래미안블레스티지,전세,4/8,105000,0,"10억 5,000",80,59.88,남서향,24  V풀옵션 V장기거주 V호텔식 조중식 V수영장사우나,"['10년이내', '융자금적은', '대단지']",223동
5,5,2426303207,디에이치퍼스티어아이파크,월세,22/33,100000,600,10억,201,156.96,남향,61O시그니처동O커뮤니티연결동O근린공원O뷰좋음,"['2년이내', '대단지', '대형평수', '방네개이상']",103동
6,6,2426316746,디에이치퍼스티어아이파크,전세,14/26,165000,0,"16억 5,000",145,112.99,남서향,44 최상의 커뮤니티  에풀 식세기 김냉 우수학군 조중석식제공,"['2년이내', '대단지', '대형평수', '방네개이상']",147동
7,7,2426317092,디에이치퍼스티어아이파크,매매,30/30,1000000,0,100억,230,179.65,북동향,70 최고의 펜트하우스 O최고의뷰와 최고의 커뮤니티O조중석식O멋진테라스,"['2년이내', '테라스', '대단지', '대형평수']",162동
8,8,2426290276,디에이치퍼스티어아이파크,전세,9/29,160000,0,16억,144,112.85,남향,44 에풀 김냉 구조굿 초중등 커뮤니티 최고.  조중석식 전화주세요,"['2년이내', '융자금없는', '대단지']",153동
9,9,2426289630,디에이치퍼스티어아이파크,전세,13/25,160000,0,16억,144,112.85,남동향,44 주인직접 로얄동층 탁트인전망최고 장기거주환영,"['2년이내', '대단지', '대형평수', '방네개이상']",137동
10,10,2426328944,디에이치퍼스티어아이파크,월세,23/35,70000,360,7억,125,96.82,남향,38  로얄동층 강남최고럭셔리커뮤니티  풀에어컨 우수학군 편리한교통,"['2년이내', '대단지', '방네개이상', '화장실두개']",102동
11,11,2426303376,디에이치퍼스티어아이파크,매매,22/33,650000,0,65억,201,156.96,남동향,6 1 근린공원뷰 최고의가치 뻥뷰 커뮤니티인접,"['2년이내', '대단지', '대형평수', '방네개이상']",103동
12,12,2426303531,디에이치퍼스티어아이파크,전세,22/33,300000,0,30억,201,156.96,남향,61O로얄동로얄층O커뮤니티연결동O조중석식O뷰좋음,"['2년이내', '대단지', '대형평수', '방네개이상']",103동
13,13,2426328657,디에이치퍼스티어아이파크,전세,23/35,160000,0,16억,125,96.82,남서향,38 초역세권 강남최고의 커뮤니티 호텔급조중석식 RR 우수학군 풀에어컨,"['2년이내', '대단지', '방네개이상', '화장실두개']",102동
14,14,2426330783,디에이치퍼스티어아이파크,전세,4/28,160000,0,16억,144,112.85,남동향,44 막힘없는 뷰 강남최고의커뮤니티 호텔급조중석식 우수학군 편리한교통,"['2년이내', '대단지', '대형평수', '방네개이상']",138동
15,15,2426316475,래미안블레스티지,전세,19/29,130000,0,13억,113,84.94,남서향,34 계좌보유 트인뷰 최고급커뮤니티,"['10년이내', '대단지', '방세개', '화장실두개']",211동
16,16,2426291055,래미안블레스티지,전세,10/17,105000,0,"10억 5,000",80,59.96,남동향,"24 주인의뢰, 로얄동 빠른입주환영","['10년이내', '융자금적은', '대단지']",206동
17,17,2426312761,개포래미안포레스트,매매,4/22,200000,0,20억,86,59.92,남향,26 입주 또는 세안고가능 안정적인 정원뷰 환상커뮤니티 조중식 강력추천,"['4년이내', '대단지', '방세개']",129동
