id,area,atclNo,atclNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclFetrDesc,tagList,bildNm
1,844,2423346137,렉스힐,매매,3/7,55000,0,"5억 5,000",57,36.96,남향,대단지아파트앞 공원뷰  학원 개인작업실 추천,"['15년이내', '소형평수', '방한개', '화장실한개']",1동
2,847,2423294164,렉스힐,매매,2/7,50000,0,5억,57,36.96,남동향,"풀옵션  학원,사무실추천 역세권 막힘없는공원뷰 도서관앞","['15년이내', '필로티', '화장실한개']",1동
3,1102,2423137066,렉스힐,매매,2/7,41000,0,"4억 1,000",45,29.25,남동향,저렴한 급매물 역세권 막힘없는공원뷰 도서관앞 대모산과양재천 산책,"['15년이내', '급매', '필로티']",1동
4,1702,2425891025,아츠논현,월세,6/12,3000,350,"3,000",90,47.22,남향,강남 럭셔리 하이엔드 오피스텔 논현아츠,"['2년이내', '융자금없는', '테라스']",1동
5,1708,2425323379,아츠논현,월세,12/12,10000,700,1억,122,63.9,서향,복층형 야외테라스 신축 첫입주 하이엔드 오피스텔 월세,"['2년이내', '테라스', '복층']",1동
6,1711,2425270498,아츠논현,월세,7/12,3000,330,"3,000",77,40.5,남향,강남 럭셔리 하이엔드 오피스텔 논현아츠 사업자가능,"['2년이내', '테라스', '화장실한개']",1동
7,1722,2425097771,아츠논현,월세,2/12,5000,330,"5,000",82,43.13,남동향,,"['2년이내', '방한개', '화장실한개']",1동
8,1727,2426272042,펜트힐루논현,매매,15/17,138000,0,"13억 8,000",120,53.62,동향,"고층,동향,하이앤드오피스텔","['4년이내', '역세권', '방한개', '화장실한개']",1동
9,1731,2426316210,논현아이파크,매매,3/16,53000,0,"5억 3,000",71,27.56,동향,"월세끼고 매수, 신축, 포괄양수도조건","['4년이내', '복층', '화장실한개', '방한개']",102동
10,1732,2426294484,아츠논현,매매,4/12,275000,0,"27억 5,000",146,75.96,서향,실제매물 소유주직접 인피니티풀 하이엔드 오피스텔,"['2년이내', '테라스', '복층']",1동
11,1733,2424616633,아츠논현,월세,8/12,5000,700,"5,000",122,63.9,남향,강남 럭셔리 하이엔드 오피스텔 논현아츠 듀플렉스 복층형,"['2년이내', '융자금없는', '테라스']",1동
