atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town,road_address,address
2430493738,디에이치퍼스티어아이파크,아파트,전세,8/26,175000,0,"17억 5,000",144,112.85,남동향,2024-06-21T00:00:00,37.482462,127.056707,44 1획지 주인직접 초역세권 식세 초중품아 채광.전망굿 고급커뮤니티,"['2년이내', '대단지', '대형평수', '방네개이상']",118동,강남구개포1동,,Error: 401
2430483040,디에이치퍼스티어아이파크,아파트,월세,17/35,50000,440,5억,125,96.82,남서향,2024-06-21T00:00:00,37.47976,127.058636,"38. 커뮤니티 최상. 조중석식.풀에,이태리산 아트월, 식세기 옵션","['2년이내', '융자금없는', '대단지', '방네개이상']",174동,강남구개포1동,,Error: 401
2430483852,디에이치퍼스티어아이파크,아파트,전세,22/33,290000,0,29억,201,156.96,남동향,2024-06-21T00:00:00,37.481182,127.057478,"61.대형 평형 다량보유.중앙공원뷰.이태리아트월,붙박이장,오븐,식세기","['2년이내', '융자금없는', '대단지', '대형평수']",103동,강남구개포1동,,Error: 401
2430476863,디에이치퍼스티어아이파크,아파트,전세,16/18,68000,0,"6억 8,000",50,34.99,남서향,2024-06-21T00:00:00,37.478622,127.056892,"15 주인의뢰,귀한소형, 탁트인뷰, 럭셔리커뮤니티","['2년이내', '대단지', '소형평수', '방한개']",140동,강남구개포1동,,Error: 401
2430461819,디에이치퍼스티어아이파크,아파트,월세,30/33,100000,600,10억,201,156.96,남동향,2024-06-21T00:00:00,37.481182,127.057478,"61 빠른입주,보증금10억에서 부터가능","['2년이내', '융자금없는', '대단지', '대형평수']",103동,강남구개포1동,,Error: 401
2430469023,디에이치퍼스티어아이파크,아파트,전세,19/35,160000,0,16억,125,96.52,남향,2024-06-21T00:00:00,37.480453,127.058339,38.주인직접.단지중앙 근긴공원옆 오래거주가능 명품커뮤니티 수영장등,"['2년이내', '융자금없는', '대단지', '방네개이상']",101동,강남구개포1동,,Error: 401
2430483611,디에이치퍼스티어아이파크,아파트,월세,23/35,60000,400,6억,125,96.82,남서향,2024-06-21T00:00:00,37.480641,127.057691,38 best추천매물O로얄동층O명품커뮤니티O장기거주가능O개원초,"['2년이내', '융자금없는', '대단지', '방네개이상']",102동,강남구개포1동,,Error: 401
2430514583,래미안블레스티지,아파트,전세,19/29,130000,0,13억,113,84.94,남서향,2024-06-21T00:00:00,37.481802,127.064267,34 BEST 입주협의 내부상태 최상 호텔급 커뮤니티 조중식서비스,"['10년이내', '대단지', '방세개', '화장실두개']",211동,강남구개포1동,,Error: 401
2430515901,래미안블레스티지,아파트,매매,3/17,280000,0,28억,113,84.94,남동향,2024-06-21T00:00:00,37.480146,127.064406,34 주인직접의뢰 정원뷰 세안고  조중식서비스,"['10년이내', '대단지', '필로티', '방세개']",219동,강남구개포1동,,Error: 401
2430483176,디에이치퍼스티어아이파크,아파트,전세,23/35,160000,0,16억,125,96.82,남서향,2024-06-21T00:00:00,37.480641,127.057691,38 best추천매물O로얄동층O명품커뮤니티O장기거주가능O개원초,"['2년이내', '융자금없는', '대단지', '방네개이상']",102동,강남구개포1동,,Error: 401
2430482206,디에이치퍼스티어아이파크,아파트,전세,11/32,320000,0,32억,220,171.65,남동향,2024-06-21T00:00:00,37.481919,127.057858,"66 풀옵션 로얄동층 정남향 채광,전망굿 조율가 커뮤니티운영","['2년이내', '융자금없는', '대단지', '대형평수']",104동,강남구개포1동,,Error: 401
2430473722,디에이치퍼스티어아이파크,아파트,월세,33/35,100000,480,10억,169,132.81,남향,2024-06-21T00:00:00,37.480453,127.058339,51 역대급커뮤니티 럭셔리 고층 뷰맛집,"['2년이내', '대단지', '대형평수', '방네개이상']",101동,강남구개포1동,,Error: 401
2430498521,디에이치퍼스티어아이파크,아파트,전세,13/32,270000,0,27억,220,171.64,남향,2024-06-21T00:00:00,37.481919,127.057858,"66 집주인직접의뢰,실매물.장기거주가능.강남최고급커뮤니티,","['2년이내', '융자금없는', '대단지', '대형평수']",104동,강남구개포1동,,Error: 401
2430473299,래미안블레스티지,아파트,전세,14/22,115000,0,"11억 5,000",80,59.96,남향,2024-06-21T00:00:00,37.480948,127.063574,24. 선호도 높은 구조. 편리한 입구동.  채광좋고 전망좋은세대.,"['10년이내', '융자금없는', '대단지']",202동,강남구개포1동,,Error: 401
2430484310,디에이치퍼스티어아이파크,아파트,전세,9/32,300000,0,30억,220,171.64,남향,2024-06-21T00:00:00,37.481919,127.057858,66. 대형전세 23년11월말 입주예정 중앙공원조망,"['2년이내', '융자금없는', '대단지', '대형평수']",104동,강남구개포1동,,Error: 401
2430484496,디에이치퍼스티어아이파크,아파트,전세,30/30,450000,0,45억,230,179.65,남향,2024-06-21T00:00:00,37.478636,127.060953,70. 펜트.대형 평형 다량 보유.방5화3.넓은 테라스.풀옵션.산 조망,"['2년이내', '융자금없는', '테라스', '대단지']",162동,강남구개포1동,,Error: 401
2430498713,디에이치퍼스티어아이파크,아파트,매매,14/29,450000,0,45억,144,112.85,남향,2024-06-21T00:00:00,37.478524,127.059948,"45 주인직접의뢰,트인뷰.강남최고급커뮤니티,","['2년이내', '대단지', '대형평수', '방네개이상']",153동,강남구개포1동,,Error: 401
2430497966,디에이치퍼스티어아이파크,아파트,전세,14/29,180000,0,18억,144,112.85,남향,2024-06-21T00:00:00,37.478524,127.059948,"45 주인직접의뢰,트인뷰.강남최고급커뮤니티,","['2년이내', '융자금없는', '대단지', '대형평수']",153동,강남구개포1동,,Error: 401
2430462874,디에이치퍼스티어아이파크,아파트,전세,17/18,65000,0,"6억 5,000",50,34.99,남서향,2024-06-21T00:00:00,37.478622,127.056892,"15  주인의뢰,장기거주가능,베란다확장,1인거주환영,조중석식,","['2년이내', '융자금없는', '확장형', '대단지']",140동,강남구개포1동,,Error: 401
2430466048,래미안블레스티지,아파트,매매,13/19,270000,0,27억,113,84.94,남동향,2024-06-21T00:00:00,37.480544,127.064928,34.전세안고 매매.판상형.추천매물 .커뮤니티인근,"['10년이내', '대단지', '방세개', '화장실두개']",220동,강남구개포1동,,Error: 401
2430439983,디에이치퍼스티어아이파크,아파트,매매,28/28,1000000,0,100억,230,179.79,남향,2024-06-21T00:00:00,37.479249,127.057677,70펜트 조율가 주인직접 최고 탁트인조망 전세도 가능,"['2년이내', '대단지', '대형평수', '탑층']",138동,강남구개포1동,,Error: 401
2430460582,래미안블레스티지,아파트,매매,6/16,170000,0,17억,67,49.9,남동향,2024-06-21T00:00:00,37.479831,127.064807,"20 주인의뢰,세끼고갭투자매매","['10년이내', '대단지', '방두개', '화장실한개']",218동,강남구개포1동,,Error: 401
