atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town,road_address,address
2429962181,렉스힐,오피스텔,매매,2/7,41000,0,"4억 1,000",45,29.25,남동향,2024-06-18T00:00:00,37.483014,127.062559,임대안고 매매 구룹과외등 공부방으로 최적,"['15년이내', '필로티', '소형평수', '방한개']",1동,강남구개포1동,,
2429962181,렉스힐,오피스텔,매매,2/7,41000,0,"4억 1,000",45,29.25,남동향,2024-06-18T00:00:00,37.483014,127.062559,임대안고 매매 구룹과외등 공부방으로 최적,"['15년이내', '필로티', '소형평수', '방한개']",1동,강남구개포2동,,
2430511404,강남역서희스타힐스,오피스텔,매매,9/12,27000,0,"2억 7,000",65,29.88,동향,2024-06-21T00:00:00,37.491413,127.032589,,"['15년이내', '화장실한개', '방한개', '고층']",1동,강남구개포4동,,
2430373834,강남웅진베어스빌,오피스텔,월세,6/16,10000,110,1억,48,26.26,북향,2024-06-20T00:00:00,37.490213,127.032788,"전입대출,보증보험가능,층고높은복층","['10년이내', '복층', '소형평수']",1동,강남구개포4동,,
2430327129,강남웅진베어스빌,오피스텔,전세,6/16,32000,0,"3억 2,000",48,26.26,북향,2024-06-20T00:00:00,37.490213,127.032788,"전입대출,보증보험가능,층고높은복층","['10년이내', '복층', '소형평수']",1동,강남구개포4동,,
2430049223,한라비발디스튜디오193,오피스텔,월세,4/12,1000,99,"1,000",61,27.69,남동향,2024-06-19T00:00:00,37.485751,127.032108,"양재역2번출구  도보5분거리 급매,향후GTX개통","['15년이내', '역세권', '급매']",1동,강남구개포4동,,
2430238618,강남웅진베어스빌,오피스텔,매매,4/16,33000,0,"3억 3,000",48,26.26,북향,2024-06-20T00:00:00,37.490213,127.032788,"강남역, 양재역 뱅뱅사거리 인근 가성비 좋고 공실없는 오피스텔 투자처","['10년이내', '화장실한개', '소형평수']",1동,강남구개포4동,,
2430176089,도곡푸르지오2차,오피스텔,매매,7/14,143000,0,"14억 3,000",224,113.08,동향,2024-06-19T00:00:00,37.487632,127.032954,68 단독 양재역 도보 5분  최고입지 전세안고 갭6억 입주가능합니다,"['25년이내', '역세권', '화장실두개', '대형평수']",102동,강남구개포4동,,
2430176234,도곡푸르지오2차,오피스텔,매매,6/14,170000,0,17억,224,113.08,남향,2024-06-19T00:00:00,37.487632,127.032954,67 양재역 3번출구 도보5분 입지좋은 큰평수 주거용 세안고 매매,"['25년이내', '역세권', '화장실두개', '대형평수']",102동,강남구개포4동,,
2429722494,강남역서희스타힐스,오피스텔,매매,6/12,21000,0,"2억 1,000",56,25.5,동향,2024-06-17T00:00:00,37.491413,127.032589,전세 1.7억 임대중 갭투자 금액 4천으로 매매가능 내부상태좋음,"['15년이내', '화장실한개', '소형평수']",1동,강남구개포4동,,
2429693649,강남역서희스타힐스,오피스텔,매매,7/12,27000,0,"2억 7,000",65,29.88,동향,2024-06-17T00:00:00,37.491413,127.032589,,"['15년이내', '화장실한개', '방한개', '중층']",1동,강남구개포4동,,
2429754679,강남웅진베어스빌,오피스텔,매매,2/16,29000,0,"2억 9,000",48,26.26,북서향,2024-06-17T00:00:00,37.490213,127.032788,초급매물 최저가 투자용 매물 사업자 포괄승계 월세수익,"['10년이내', '급매', '소형평수']",1동,강남구개포4동,,
2429400484,르메이에르타운,오피스텔,월세,3/15,1000,75,"1,000",43,23.56,서향,2024-06-15T00:00:00,37.491045,127.032684,전입가능O 역세권O 저렴한 월세O 조용하고 깨끗O,"['25년이상', '화장실한개', '소형평수', '방한개']",101동,강남구개포4동,,
2428948720,강남역서희스타힐스,오피스텔,월세,3/12,22500,13,"2억 2,500",65,29.88,동향,2024-06-13T00:00:00,37.491413,127.032589,풀옵션O 대출O 전입O 보증보험O,"['15년이내', '화장실한개', '방한개']",1동,강남구개포4동,,
2429125290,강남웅진베어스빌,오피스텔,매매,6/16,39000,0,"3억 9,000",45,24.25,북향,2024-06-13T00:00:00,37.490213,127.032788,"신축복층,월세수익용,로얄호수","['10년이내', '복층', '소형평수']",1동,강남구개포4동,,
2429032211,강남역와이즈플레이스,오피스텔,매매,13/14,23000,0,"2억 3,000",49,23.87,북동향,2024-06-13T00:00:00,37.491678,127.031869,가장 좋은물건 갭 가능 ,"['15년이내', '소형평수', '방한개', '화장실한개']",1동,강남구개포4동,,
2428302848,강남역와이즈플레이스,오피스텔,월세,14/14,20000,10,2억,49,23.87,동향,2024-06-10T00:00:00,37.491678,127.031869,"최저가월세,전입,대출가능,고층,내부컨디션양호","['15년이내', '융자금없는', '소형평수']",1동,강남구개포4동,,
2430283440,강남역서희스타힐스,오피스텔,월세,3/12,16650,20,"1억 6,650",52,23.58,서향,2024-06-20T00:00:00,37.491413,127.032589,전입가능 허그대출가능 자주식 주차0 저렴한 가성비 반  월세,"['15년이내', '융자금없는', '소형평수', '화장실한개']",1동,강남구개포4동,,
2430386840,도곡푸르지오2차,오피스텔,전세,9/14,100000,0,10억,224,113.08,동향,2024-06-20T00:00:00,37.487632,127.032954,역세권 귀한 오피스텔 전입 가능 합니다,"['25년이내', '융자금없는', '역세권']",102동,강남구개포4동,,
2430375469,강남웅진베어스빌,오피스텔,매매,3/16,32200,0,"3억 2,200",40,22.08,남향,2024-06-20T00:00:00,37.490213,127.032788,,"['10년이내', '복층', '소형평수', '방한개']",1동,강남구개포4동,,
2430384919,강남웅진베어스빌,오피스텔,전세,6/16,32000,0,"3억 2,000",48,26.26,북향,2024-06-20T00:00:00,37.490213,127.032788,전입O.전세대출O.복층.깔끔,"['10년이내', '복층', '소형평수']",1동,강남구개포4동,,
2430314493,강남역와이즈플레이스,오피스텔,월세,11/14,1000,90,"1,000",49,23.87,동향,2024-06-20T00:00:00,37.491678,127.031869,,"['15년이내', '융자금없는', '소형평수', '방한개']",1동,강남구개포4동,,
2430243486,삼일프라자,오피스텔,월세,9/15,500,65,500,62,28.9,남동향,2024-06-20T00:00:00,37.490944,127.032459,뱅뱅사거리 가성비갑 중소형 업무용 오피스텔,"['25년이상', '소형평수', '방한개']",1동,강남구개포4동,,
2430153421,삼일프라자,오피스텔,월세,13/15,2000,180,"2,000",162,74.99,동향,2024-06-19T00:00:00,37.490944,127.032459," 강남역, 양재역 도보 10분거리 업무용 사무실","['25년이상', '융자금없는', '대형평수', '방두개']",1동,강남구개포4동,,
2430162064,르메이에르타운,오피스텔,월세,9/15,1000,70,"1,000",46,25.2,남향,2024-06-20T00:00:00,37.491045,127.032684,무조건 BEST만 소개해드립니다,"['25년이상', '융자금없는', '화장실한개']",101동,강남구개포4동,,
2430001267,강남역와이즈플레이스,오피스텔,전세,14/14,20000,0,2억,49,23.87,동향,2024-06-19T00:00:00,37.491678,127.031869,"전입신고 가능,전세자금대출 동의가능","['15년이내', '융자금없는', '소형평수', '탑층']",1동,강남구개포4동,,
