atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2427375501,현대1차,아파트,매매,11/15,90000,0,9억,86,70.38,동향,37.492954,127.140949,로얄층 전망최고 귀한평형 입주협의 위례생활권,"['25년이상', '역세권', '방세개', '화장실한개']",3동,송파구 마천2동
2427374371,현대1차,아파트,매매,2/13,100000,0,10억,93,74.83,동향,37.493147,127.14149,올수리 주인거주 입주협의 위례생활권 거여역세권,"['25년이상', '올수리', '역세권', '방세개']",2동,송파구 마천2동
2427386493,현대1차,아파트,매매,13/15,120000,0,12억,102,84.86,동향,37.492515,127.141248,거여역역세권 로얄층 특올수리 입주협의,"['25년이상', '올수리', '역세권', '화장실두개']",5동,송파구 마천2동
2427499264,송파시그니처롯데캐슬,아파트,매매,21/33,130000,0,13억,85,59.98,동향,37.496243,127.146975,"신축 대단지뻥뷰통풍, 환기좋음   다양한 커뮤니티  남여, 싸우나","['4년이내', '역세권', '대단지', '방세개']",105동,송파구 마천2동
2427324918,어울림,아파트,매매,11/16,125000,0,"12억 5,000",151,120.36,남향,37.492296,127.143467,급매 초역세권 녹지조망남향 일조량좋음 깨끗 문화센터와수변공원초중교인접,"['25년이내', '역세권', '급매', '대형평수']",102동,송파구 마천2동
2427489732,송파시그니처롯데캐슬,아파트,매매,27/32,143000,0,"14억 3,000",111,84.98,남동향,37.496981,127.146406,신축시그니처롯데 실입주O고층 남동향 O역세권미래가치O,"['4년이내', '대단지', '방세개', '화장실두개']",102동,송파구 마천2동
2427450858,송파시그니처롯데캐슬,아파트,전세,15/33,73000,0,"7억 3,000",111,84.98,남동향,37.49643,127.146307,"입주추천,막힘없이 확트인뷰,내부컨디션최상,지하철역근접, 커뮤니티 이용편리","['4년이내', '대단지', '방세개', '화장실두개']",103동,송파구 마천2동
2427373756,어울림,아파트,매매,5/16,115000,0,"11억 5,000",133,104.5,남향,37.49257,127.14293,거여역세권 남향 입주협의 위례생활권 ,"['25년이내', '역세권', '대형평수', '방네개이상']",101동,송파구 마천2동
2427451959,현대2차,아파트,월세,8/10,25000,110,"2억 5,000",100,82.96,남향,37.49445,127.14634,올수리,"['25년이상', '올수리', '역세권', '방세개']",202동,송파구 마천2동
2427450620,송파시그니처롯데캐슬,아파트,전세,3/33,70000,0,7억,110,84.98,남서향,37.49643,127.146307,"34 급전세 판상형구조로 ,조정가 , 풀옵션,풀에어컨, 관리잘된집","['4년이내', '대단지', '방세개', '화장실두개']",103동,송파구 마천2동
2427361368,송파시그니처롯데캐슬,아파트,매매,20/23,138000,0,"13억 8,000",110,84.98,남향,37.495476,127.146566,"추천 34 갭투 O 에어컨전부,안방붙박이장 옵션좋음","['4년이내', '역세권', '대단지']",114동,송파구 마천2동
2427415313,현대1차,아파트,매매,6/15,100000,0,10억,102,84.86,동향,37.492429,127.140627,올수리 주인거주 입주협의 위례생활권 거여역세권,"['25년이상', '올수리', '역세권', '방세개']",6동,송파구 마천2동
2427393306,SP센트리움시티(주상복합),아파트,전세,8/9,80000,0,8억,91,80.67,남향,37.494257,127.143602,"신축,방3,화2,붙박이3,냉장고옵션굿","['2년이내', '융자금없는', '역세권', '방세개']",1동,송파구 마천2동
2427372879,현대1차,아파트,매매,11/15,110000,0,11억,102,84.86,동향,37.492429,127.140627,로얄층 올수리 거여역세권 입주협의 위례생활권 미래가치최고,"['25년이상', '올수리', '역세권', '방세개']",6동,송파구 마천2동
2427461043,인투파크거여1단지,오피스텔,전세,10/14,25000,0,"2억 5,000",50,29.74,남향,37.495921,127.144838,거여역 도보3분이내.대로변풀옵션.투룸.전세안심보험가능신축2년차.엘베,"['4년이내', '테라스', '역세권', '소형평수']",101동,송파구 마천2동
2427408929,송파시그니처롯데캐슬,아파트,월세,6/33,20000,160,2억,84,59.98,남동향,37.49643,127.146307,"눈높이전망예뻐요, 에어컨풀 조합원옵션 보증금 조정가능","['4년이내', '융자금없는', '대단지']",103동,송파구 마천2동
2427391761,송파시그니처롯데캐슬,아파트,매매,13/31,140000,0,14억,110,84.98,남향,37.496677,127.147505,"신축 에풀, 깔끔하고 조용한집  다양한커뮤니티  남,여싸우나 인기짱","['4년이내', '대단지', '방세개']",106동,송파구 마천2동
2427378602,현대1차,아파트,매매,7/15,103000,0,"10억 3,000",103,84.91,동향,37.493739,127.141076,로얄층 남한산성조망권 거여역세권 입주협의,"['25년이상', '역세권', '방세개', '화장실두개']",1동,송파구 마천2동
2427474069,송파시그니처롯데캐슬,아파트,전세,26/33,72000,0,"7억 2,000",111,84.98,남향,37.497185,127.147187,34 풀에어컨 O 커뮤니티 문앞동 O 뻥뷰 O 즉시입주 가능,"['4년이내', '융자금없는', '대단지']",101동,송파구 마천2동
2427375235,현대1차,아파트,매매,4/15,89000,0,"8억 9,000",86,70.38,동향,37.492954,127.140949,귀한평형 입주협의 상태A급 거여역세권 숲세권,"['25년이상', '역세권', '방세개', '화장실한개']",3동,송파구 마천2동
2427480096,빌라,빌라,전세,중/10,34000,0,"3억 4,000",33,27.23,동향,37.494386,127.142623,"고품격 주거시설 씨엘타워, 신혼버팀목O,보증보험O","['4년이내', '역세권', '화장실한개']",,송파구 마천2동
2427484220,한주리버뷰,아파트,매매,9/10,63000,0,"6억 3,000",88,64.32,남향,37.499579,127.144784,하시입주.성내천뷰.중문 .상태굿,"['10년이내', '방세개', '화장실두개']",1동,송파구 마천2동
2427368445,우방1차,아파트,월세,15/18,40000,100,4억,142,114.72,동향,37.49249,127.14218,"실매물,융무,방4,화2,올수리,역세권,햇살좋은집,로얄동,층,생활권편리","['25년이내', '융자금없는', '올수리', '역세권']",102동,송파구 마천2동
2427301941,빌라,빌라,전세,4/10,38000,0,"3억 8,000",54,46,서향,37.493744,127.144073,"고품격 주거시설 잭타워, 신혼버팀목O,보증보험O","['2년이내', '역세권', '화장실한개']",,송파구 마천2동
2427479666,빌라,빌라,전세,고/10,30000,0,3억,33,27.31,동향,37.494386,127.142623,"고품격 주거시설 씨엘타워, 신혼버팀목O,보증보험O","['4년이내', '역세권', '화장실한개']",,송파구 마천2동
2427326124,단독,단독/다가구,월세,1/2,5000,100,"5,000",115,99.33,남서향,37.498596,127.143074,"방3, 보증금 조정가능","['25년이상', '융자금적은', '테라스']",,송파구 마천2동
2427449916,중소형사무실,사무실,월세,2/10,4000,100,"4,000",98,34,서향,37.493744,127.144073,신축 첫입주 사무실 1년간 월세 40프로 할인,"['2년이내', '역세권', '지상층(1층제외)', '관리비10만원이하']",,송파구 마천2동
2427428574,현대2차,아파트,매매,5/12,87000,0,"8억 7,000",100,82.96,남서향,37.49474,127.14657,즉시입주가능    투자가능    5호선 거여역,"['25년이상', '역세권', '방세개', '화장실두개']",201동,송파구 마천2동
2427365070,빌라,빌라,매매,3/4,37000,0,"3억 7,000",70,65.08,남동향,37.496103,127.140636,거여역세권 전용넓고 거실大 베란다 입주협의,"['25년이상', '역세권', '방세개', '화장실한개']",,송파구 마천2동
2427473154,빌라,빌라,전세,중/10,34000,0,"3억 4,000",33,27.23,동향,37.494386,127.142623,"고품격 주거시설 씨엘타워, 신혼버팀목O,보증보험O","['4년이내', '역세권', '화장실한개']",,송파구 마천2동
2427444237,단독,단독/다가구,전세,2/2,15000,0,"1억 5,000",36,36,남서향,37.493335,127.143034,올리모델링  O 거여역 도보10초 O 대출불가 O 전입가,"['25년이상', '역세권', '소형평수', '방두개']",,송파구 마천2동
2427262458,거여역쌍용2차(주상복합),아파트,매매,5/15,115000,0,"11억 5,000",128,105.24,남서향,37.492807,127.145588,"입주가, 세안고, 거여역초역세권, 인프라좋음, 남한산성에 바람이 좋은 곳","['25년이내', '역세권', '방세개', '화장실두개']",1동,송파구 마천2동
2427303581,빌라,빌라,월세,5/8,3000,195,"3,000",91,68,남서향,37.492908,127.14355,반려동물 가능 신축 쓰리룸 화장실 2개,"['2년이내', '역세권', '화장실두개']",,송파구 마천2동
2427477946,빌라,빌라,매매,6/6,28000,0,"2억 8,000",30,24.39,남서향,37.496304,127.140644,"집은깔끔하고 옥상사용가능하며 살기편리한집,거여역5분.","['10년이내', '화장실한개', '소형평수', '탑층']",,송파구 마천2동
2427401724,빌라,빌라,전세,8/10,34000,0,"3억 4,000",59,45.24,남향,37.493744,127.144073,거여역 초역세권 신축 첫입주 풀옵션 투룸,"['2년이내', '역세권', '화장실한개']",,송파구 마천2동
2427292622,빌라,빌라,전세,2/10,38000,0,"3억 8,000",54,46,서향,37.493744,127.144073,"고품격 주거시설 잭타워, 신혼버팀목O,보증보험O","['2년이내', '역세권', '화장실한개']",,송파구 마천2동
2427445595,단독,단독/다가구,전세,2/2,20000,0,2억,44,44,남서향,37.493335,127.143034,거여역세권 O 올리모델링 O 베란다큼 O 즉시입주,"['25년이상', '역세권', '소형평수']",,송파구 마천2동
2427466319,다가구,단독/다가구,월세,3/4,13000,20,"1억 3,000",49,49,남동향,37.499006,127.142276,성내천인근 큰방두개.거실 .전세대출가능,"['25년이상', '소형평수', '방두개', '화장실한개']",,송파구 마천2동
2427260125,빌라,빌라,전세,8/10,25000,0,"2억 5,000",21,17.67,북동향,37.494386,127.142623,거여역 초역세권 방1.5욕실1 보증보험가능 주차가능,"['4년이내', '역세권', '소형평수', '방한개']",,송파구 마천2동
2427287343,거여팰리스,오피스텔,매매,3/10,30000,0,3억,47,34.41,북향,37.492655,127.14378,"초역세권, 즉시입주","['10년이내', '역세권', '소형평수']",1동,송파구 마천2동
2427058357,어울림,아파트,매매,4/16,135000,0,"13억 5,000",151,120.36,남향,37.492296,127.143467,"초역세권 거실,방2개 확장, 특올수리3년차됨, 문화센터와수변공원초중인접","['25년이내', '올수리', '역세권', '대형평수']",102동,송파구 마천2동
2427088510,어울림,아파트,매매,14/16,125000,0,"12억 5,000",129,101.98,남향,37.49257,127.14293,초역세권 조망남향 일조량좋음 깨끗 문화센터와수변공원초중인접,"['25년이내', '역세권', '방네개이상', '화장실두개']",101동,송파구 마천2동
2427026581,현대3차,아파트,매매,11/13,105000,0,"10억 5,000",104,84.94,남서향,37.49742,127.14489,남향 로얄층 전망매우좋고 올수리되어 깨끗,"['25년이상', '올수리', '방세개', '화장실두개']",301동,송파구 마천2동
2427189892,씨엘타워,오피스텔,월세,5/10,18000,25,"1억 8,000",28,22.2,북서향,37.494477,127.14243,초역세권 분리형1.5룸  풀옵션  생활편리,"['4년이내', '역세권', '세대분리', '소형평수']",1동,송파구 마천2동
2427195111,현대3차,아파트,전세,1/15,58000,0,"5억 8,000",104,84.94,남서향,37.49662,127.14475,올리모델링  8월부터 협의 입주가능  역세권 전세대출가 아이 키우기 좋은,"['25년이상', '융자금없는', '역세권', '1층']",303동,송파구 마천2동
2427063934,우방1차,아파트,전세,13/18,60000,0,6억,114,84.9,남향,37.49249,127.14218,남향 위례생활권 입주협의 상태최상 입주협의 확트인전망,"['25년이내', '역세권', '방세개', '화장실두개']",102동,송파구 마천2동
2427077786,거여팰리스,오피스텔,매매,5/10,33000,0,"3억 3,000",48,35.05,남동향,37.492655,127.14378,신축 초역세권 풀옵션 세안고,"['10년이내', '역세권', '소형평수', '방한개']",1동,송파구 마천2동
2427216169,빌라,빌라,월세,5/8,5000,165,"5,000",65,48.73,남서향,37.492908,127.14355,반려동물 가능 신축 첫입주,"['2년이내', '역세권', '화장실한개']",,송파구 마천2동
2427239023,빌라,빌라,월세,8/10,18000,25,"1억 8,000",16,13.55,북동향,37.494386,127.142623,거여역 초역세권 방1.5욕실1 보증보험가능 주차가능,"['4년이내', '역세권', '소형평수', '방한개']",,송파구 마천2동
2427191079,빌라,빌라,전세,5/10,46000,0,"4억 6,000",78,63.41,남서향,37.493744,127.144073,초역세권  풀옵션 신축  바로입주가능  생활편리,"['2년이내', '융자금없는', '역세권', '방세개']",,송파구 마천2동
