atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2427105549,지식산업센터,지식산업센터,월세,8/17,6000,520,"6,000",270,138.91,,37.487484,127.120145,문정역 연결 풀 인테리어완비 사무실,"['10년이내', '융자금적은', '역세권']",,송파구 문정1동
2427269831,지식산업센터,지식산업센터,월세,11/16,8000,760,"8,000",417,208.64,,37.484809,127.121521,정기주차6대. 룸인테리어된 문정동 대형사무실,"['10년이내', '역세권', '고층']",,송파구 문정1동
2427192432,지식산업센터,지식산업센터,월세,11/15,3000,220,"3,000",160,83.52,,37.484385,127.116893,"문정역 도보가능, 전용30, 즉시입주","['10년이내', '고층', '주차가능']",,송파구 문정1동
2427258634,지식산업센터,지식산업센터,월세,5/14,3000,280,"3,000",157,78.98,,37.4858,127.120652,엠스테이트  입지 최고 인테리어 사무실,"['10년이내', '융자금없는', '역세권']",,송파구 문정1동
2427125406,중소형사무실,사무실,월세,6/13,1000,100,"1,000",78,35.29,남향,37.484572,127.122377,"문정역 직통연결, 초역세권 출퇴근 편리 소형사무실","['10년이내', '역세권', '중층']",,송파구 문정1동
2426754973,지식산업센터,지식산업센터,월세,3/15,10000,750,1억,223,114.21,,37.485024,127.116638,유리룸 탕비 확장면적포함 실76 대형면적 인테리어사무실 ,"['10년이내', '융자금적은', '지상층(1층제외)']",,송파구 문정1동
2427055654,지식산업센터,지식산업센터,월세,12/16,2000,180,"2,000",101,50.92,,37.484809,127.121521,실15 베란다 별도 주차2대 가능,"['10년이내', '융자금없는', '역세권']",,송파구 문정1동
2427020915,지식산업센터,지식산업센터,월세,6/14,5000,330,"5,000",200,100.07,,37.4858,127.120652,"전용30, 인테리어완비, 룸, 탕비1, 문정역직통연결 ","['10년이내', '융자금없는', '역세권']",,송파구 문정1동
2426742826,대형사무실,사무실,월세,5/17,1500,120,"1,500",73,37.76,북향,37.487484,127.120145,전용12p 룸있는 소형사무실 임대,"['10년이내', '역세권', '지상층(1층제외)']",,송파구 문정1동
2426940839,지식산업센터,지식산업센터,월세,9/16,1000,150,"1,000",94,47.27,,37.484809,127.121521,테라타워1 지식산업센터 즉시입주가능 전용16P,"['10년이내', '융자금없는', '역세권']",,송파구 문정1동
2426736154,지식산업센터,지식산업센터,월세,3/15,3000,250,"3,000",161,83.43,,37.485022,127.118297,실28 가성비좋은 기본사무실,"['10년이내', '역세권', '지상층(1층제외)']",,송파구 문정1동
2426790267,대형사무실,사무실,월세,15/15,6000,580,"6,000",362,187.05,남동향,37.485022,127.118297,실62. 굿뷰 채광 가성비 모두 갖춘 풀인테리어 대형사무실,"['10년이내', '역세권', '고층']",,송파구 문정1동
2426732073,지식산업센터,지식산업센터,월세,4/15,1000,120,"1,000",99,49.58,,37.485024,127.116638,"전용면적 15, 코너의 밝고 탁트인 개방감 좋은 룸1 인테리어 사무실","['10년이내', '융자금적은', '지상층(1층제외)']",,송파구 문정1동
2426708225,지식산업센터,지식산업센터,매매,6/16,225000,0,"22억 5,000",356,178.2,,37.484809,127.121521,,"['10년이내', '역세권', '중층']",,송파구 문정1동
2426558542,지식산업센터,지식산업센터,월세,12/17,4000,420,"4,000",252,126.88,,37.486872,127.120469,확장45P 문정초역세권 기본호실,"['10년이내', '역세권', '고층']",,송파구 문정1동
2426608254,지식산업센터,지식산업센터,월세,8/15,5000,600,"5,000",362,187.05,,37.485022,127.118297,실66. 채광좋은 코너.풀인테리어 대형사무실 임대,"['10년이내', '역세권', '중층']",,송파구 문정1동
2426557692,지식산업센터,지식산업센터,월세,12/17,1000,100,"1,000",65,32.8,,37.486872,127.120469,전용10P  문정초역세권 기본호실,"['10년이내', '역세권', '고층']",,송파구 문정1동
