atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2426380518,빌라,빌라,월세,5/5,30000,63,3억,107,92.57,동향,37.514373,127.111711,,"['25년이내', '융자금없는', '테라스']",,송파구 방이2동
2427315003,잠실리버리치,오피스텔,월세,3/17,2000,140,"2,000",43,27.41,남동향,37.51514,127.114023,업무용 O 빠른입주 O 넓은 분리형 1.5룸 건조기 스타일러O,"['2년이내', '역세권', '세대분리']",1동,송파구 방이2동
2427452872,더엘라소프잠실,오피스텔,월세,15/16,5000,160,"5,000",53,29.6,동향,37.5153,127.110302,주거용 전입신고ok  빠른입주가능  귀한 주거용월세,"['2년이내', '역세권', '소형평수']",1동,송파구 방이2동
2427448677,더엘라소프잠실,오피스텔,월세,7/16,5000,230,"5,000",92,51.93,북동향,37.5153,127.110302,주거용 전입신고ok  빠른입주가능 넓은 투룸,"['2년이내', '역세권', '화장실한개']",1동,송파구 방이2동
2427388772,더엘라소프잠실,오피스텔,월세,7/16,5000,230,"5,000",92,51.93,동향,37.5153,127.110302,전입 O 첫즉시입주 O 보증금조절 O 모든공간이 수납 귀한 투룸,"['2년이내', '역세권', '화장실한개']",1동,송파구 방이2동
2427318381,잠실푸르지오발라드,오피스텔,전세,4/16,30000,0,3억,39,24.64,남서향,37.515137,127.108314,"신축첫입주,전입,보증보험가입 가능한 주거용오피스텔","['2년이내', '역세권', '소형평수']",B동,송파구 방이2동
2427446050,더엘라소프잠실,오피스텔,전세,16/16,55000,0,"5억 5,000",92,51.93,북동향,37.5153,127.110302,전세대출 및 보증보험 가능한 넓은 투룸  신혼부부강추,"['2년이내', '융자금없는', '역세권']",1동,송파구 방이2동
2427251585,잠실푸르지오발라드,오피스텔,전세,7/17,48000,0,"4억 8,000",59,37.54,남향,37.514687,127.108496,잠실역 도보5분거리 역세권 하이엔드급 신축풀옵션투룸오피스텔 전세,"['2년이내', '융자금없는', '역세권']",A동,송파구 방이2동
2427322002,잠실리버리치,오피스텔,월세,11/17,3000,230,"3,000",67,42.09,북서향,37.51514,127.114023,"신축 첫입주 ,9호선 근접, 투룸,드레스룸,사업자호실","['2년이내', '융자금없는', '역세권']",1동,송파구 방이2동
2427440445,집앤사잠실프리미어,오피스텔,월세,8/18,3000,200,"3,000",64,38.9,서향,37.515549,127.108448,이쁜넓은투룸  세금계산서발행OK 빠른입주가능,"['2년이내', '역세권', '화장실한개']",1동,송파구 방이2동
