atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2426747848,중소형사무실,사무실,월세,2/4,3000,200,"3,000",118,100,남서향,37.505494,127.090267,삼전역 인테리어 사무실,"['10년이내', '융자금없는', '역세권']",,송파구 삼전동
2426183810,중소형사무실,사무실,월세,6/6,5000,320,"5,000",197,152.07,동향,37.503356,127.096803,실46 초역세권 대로변 풀인테리어 연층임대가능,"['25년이상', '융자금적은', '역세권']",,송파구 삼전동
2427503499,일반상가,상가,월세,B1/5,3000,150,"3,000",159,138,북서향,37.506599,127.092016,실사 삼전역7분 전용50 주차가 지하 가성비 다용도,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",,송파구 삼전동
2427542708,중소형사무실,사무실,월세,6/7,3000,210,"3,000",61,46.28,동향,37.502835,127.096778,실사진 전용 14P 소유주확인 초역세권,"['10년이내', '역세권', '고층', '주차가능']",,송파구 삼전동
2427522138,중소형사무실,사무실,월세,6/7,10000,580,1억,169,169.86,동향,37.503348,127.09273,전용50 파격조건 강추매물 더블역세권 렌트프리O 내부꺠끗한 사무실,"['4년이내', '융자금없는', '역세권', '고층']",,송파구 삼전동
2427522456,중소형사무실,사무실,월세,3/8,10000,700,1억,215,167.72,남서향,37.504244,127.089867,전용50 l 실사진 l 삼전사거리 l 엘베有 l 방문주차가능 l 연층임대,"['10년이내', '융자금없는', '역세권', '중층']",,송파구 삼전동
2427565238,일반상가,상가,월세,1/5,3000,270,"3,000",74,58.69,북서향,37.505455,127.090538,세움 약 17P 삼전역 학원가 3면코너 깔끔 노출甲,"['15년이내', '융자금없는', '역세권', '1층']",,송파구 삼전동
2427556259,중소형사무실,사무실,월세,3/6,4000,260,"4,000",148,99.1,남동향,37.503356,127.096803,NB 현장실사진 O 추천 EV 채광 우수 O 시설무상인수가능,"['25년이상', '융자금없는', '역세권', '중층']",,송파구 삼전동
2427522196,중소형사무실,사무실,월세,2/6,7000,370,"7,000",197,152.07,남동향,37.503356,127.096803,전용45 역세권 사무실 도보1분 깔끔한 사무실,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 삼전동
2427568441,단지내상가,상가,월세,2/5,5000,450,"5,000",169,148,북향,37.506811,127.09181,최강 학원사거리 2층 너무 귀한 무권리,"['25년이상', '중층', '주차가능', '총5층']",,송파구 삼전동
2427555847,중소형사무실,사무실,월세,4/6,5000,330,"5,000",197,148.7,남동향,37.503356,127.096803,NB 현장실사진 O 추천 EV 채광 우수 O,"['25년이상', '융자금없는', '역세권', '중층']",,송파구 삼전동
2427431405,빌라,빌라,월세,4/6,40000,20,4억,63,49.08,남서향,37.50411,127.091159,"허그대출O보증보험O,거실맞벽 신축급 방3화2,삼전역2분,중문,붙박이장","['10년이내', '융자금없는', '역세권']",,송파구 삼전동
2427438774,중소형사무실,사무실,월세,2/4,3000,200,"3,000",118,95.87,남향,37.505494,127.090267,I 실30  I 신축 I 룸2개 I 냉난방기완비 I 빨리보세요,"['10년이내', '역세권', '중층', '관리비10만원이하']",,송파구 삼전동
2427431166,빌라,빌라,전세,4/5,38000,0,"3억 8,000",39,29.66,남동향,37.500754,127.090129,"전세자금대출, 보증보험 가입 가능한  삼전동 준신축2020년 투룸","['10년이내', '화장실한개', '소형평수', '방두개']",,송파구 삼전동
2427401294,중소형사무실,사무실,월세,6/6,3000,230,"3,000",102,100,남서향,37.506399,127.091341,NB 클릭시사진 O 엘리베이터 O 깔끔한 사무실 추천 O,"['25년이내', '융자금없는', '역세권', '고층']",,송파구 삼전동
2427475303,중소형사무실,사무실,월세,3/6,4000,260,"4,000",197,82,북서향,37.503356,127.096803,석촌고분 역세권 I 냉난방 완비 I 석촌호수 인접,"['25년이상', '융자금없는', '역세권', '중층']",,송파구 삼전동
2427402030,연립,빌라,월세,3/5,20000,35,2억,60,43,북향,37.501407,127.091389,실사진O  삼전동 조용한 주택가 깔끔한 투룸,"['10년이내', '화장실한개', '소형평수']",,송파구 삼전동
2427490713,일반상가,상가,월세,1/3,5000,455,"5,000",90,82.64,북향,37.506754,127.094621,K 현장  석촌호수 대단지 아파트 정문 도로변 점포,"['25년이상', '1층', '관리비20만원이하', '주차가능']",,송파구 삼전동
2427455836,일반상가,상가,월세,1/5,4000,260,"4,000",68,60,남향,37.504188,127.095676,석촌고분역인근 인테리어갑 층고 좋은 바로운영가능 상가,"['25년이상', '융자금없는', '역세권', '1층']",,송파구 삼전동
2427421393,연립,빌라,전세,3/5,30000,0,3억,60,43,북향,37.501407,127.091389,실사진O  삼전동 조용한 주택가 깔끔한 투룸 전세,"['10년이내', '화장실한개', '소형평수']",,송파구 삼전동
2427284412,중소형사무실,사무실,월세,3/3,3000,315,"3,000",114,92,북향,37.506754,127.094621,레이크팰리스 인근 I 룸 인테리어 I 컨디션 우수,"['25년이상', '융자금적은', '고층', '주차가능']",,송파구 삼전동
2427284474,중소형사무실,사무실,월세,3/6,4000,260,"4,000",160,132,북동향,37.503384,127.090542,삼전역 역세권 I 대로변 I 전면통창,"['25년이내', '융자금없는', '역세권', '중층']",,송파구 삼전동
