atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2427003884,빌딩,건물,월세,6/B2,40000,3600,4억,294,978.96,,37.505865,127.098929,석촌호수앞 신축건물 사옥 통임대,"['2년이내', '역세권']",,송파구 석촌동
2426601570,대형사무실,사무실,월세,6/10,13000,723,"1억 3,000",363,300.8,서향,37.50705,127.10133,전용90. 석촌호수 라인 랜드마크 빌딩. 가격 나이스. 주차편리.,"['25년이상', '중층', '주차가능']",,송파구 석촌동
2427257913,상가건물,건물,월세,3/-,3000,100,"3,000",165,337.92,,37.500259,127.106284,,"['25년이상', '관리비10만원이하']",,송파구 석촌동
2427263771,상가건물,건물,월세,3/-,3000,120,"3,000",165,337.92,,37.500259,127.106284,,"['25년이상', '관리비10만원이하']",,송파구 석촌동
2425986209,대형사무실,사무실,월세,3/6,10000,700,1억,266,232,북향,37.506262,127.100459,I 실70 I 호수인근 I 무권리 I 신축 I 냉난방기완비 I,"['10년이내', '중층', '주차가능']",,송파구 석촌동
2427507594,대형사무실,사무실,매매,22/22,350000,0,35억,533,188.93,북향,37.506569,127.100388,석촌호수가  환상적인 보이는  탑층 으로 투자가치 양호한  급매물건,"['10년이내', '테라스', '급매', '고층']",,송파구 석촌동
2427517012,중소형사무실,사무실,월세,2/4,2000,150,"2,000",130,99.17,북서향,37.502238,127.103328,KD 최우수사무소 l 실사진O l 주차2대 제공 l 화물승강기,"['25년이상', '중층', '주차가능', '총4층']",,송파구 석촌동
2427514300,중소형사무실,사무실,월세,2/6,3000,200,"3,000",148,115.7,남동향,37.506913,127.103397,KD 최우수사무소 l 실사진O l 름4개 l 가성비 추천,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",,송파구 석촌동
2427516513,대형사무실,사무실,월세,3/9,12600,1050,"1억 2,600",642,360.52,남향,37.500395,127.104074,실109 무권리 풀인테리어 철거가능 주차최고,"['10년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",,송파구 석촌동
2427507758,석촌호수나인파크,오피스텔,매매,14/22,29000,0,"2억 9,000",59,19.34,북향,37.506293,127.098912,오피스텔 고층 원룸복층형 풀옵션의 사이드면에 있어 편리한 구조 급매물임,"['10년이내', '복층', '급매']",A동,송파구 석촌동
2427549709,중소형사무실,사무실,월세,4/7,1500,110,"1,500",52,39.6,남향,37.505298,127.105515,NB 클릭시사진 O 석촌역초역세권 O EV 사무실,"['25년이내', '융자금없는', '역세권', '중층']",,송파구 석촌동
2427508702,미켈란호수가(주상복합),아파트,매매,8/26,220000,0,22억,162,136.8,북향,37.507455,127.102519,석촌호수가 환성적인 대형아파트 방3 화2 저렴한 투자가치 양호한 급매물건,"['25년이내', '급매', '대형평수', '방세개']",1동,송파구 석촌동
2427470084,빌라,빌라,전세,2/5,40000,0,4억,105,80.83,남향,37.502012,127.10318,역세권 가성비 좋은 다세대 쓰리룸 전세,"['10년이내', '방세개', '화장실두개', '중층']",,송파구 석촌동
2427434894,미켈란호수가(주상복합),아파트,매매,26/26,590000,0,59억,226,189.73,남향,37.507455,127.102519,단독정원2개 로얄동 펜트층 고급아파트,"['25년이내', '마당', '대형평수', '탑층']",1동,송파구 석촌동
2427446186,중소형사무실,사무실,월세,2/6,1000,130,"1,000",55,55.62,남동향,37.507078,127.104781,석촌 이면 전용17 엘베 내부수도 깔끔한 가성비 사무실,"['10년이내', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 석촌동
2427507789,복합상가,상가,월세,22/22,20000,900,2억,265,94.01,북향,37.506569,127.100388,석촌호수가  환상적으로 보이는 탑층  카페나 레스트랑으로 추천하는 물건임,"['10년이내', '융자금없는', '테라스', '고층']",,송파구 석촌동
2427506770,빌라,빌라,월세,2/5,2000,125,"2,000",49,41.05,남서향,37.501366,127.100121,넓은 방크기를 원하다면 여기만한 곳 없어요,"['25년이내', '융자금없는', '역세권']",,송파구 석촌동
2427443857,일반상가,상가,월세,3/5,3000,170,"3,000",92,85,남동향,37.501545,127.104338,"BEST 외관굿 초등학교 공원인근 갤러리,공방,어린이놀이터등 추천","['25년이내', '융자금없는', '중층', '주차가능']",,송파구 석촌동
2427478624,일반상가,상가,월세,1/3,6000,330,"6,000",66,66.12,남향,37.50008,127.103611,헬리오 대단지 배후 무권리O 노출도 최상,"['25년이상', '융자금없는', '1층', '주차가능']",,송파구 석촌동
2427447726,중소형사무실,사무실,월세,2/6,3000,200,"3,000",125,120,남동향,37.506913,127.103397,실사 석촌역6분 석촌호수인근 전용35 EV 가성비 좋은 사무실,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 석촌동
2427373725,중소형사무실,사무실,월세,2/5,4000,257,"4,000",142,105.7,남동향,37.504084,127.105772,NB 석촌역 초역세권 O 도보 3분 O 전용32,"['25년이상', '융자금없는', '역세권', '중층']",,송파구 석촌동
2427404564,일반상가,상가,월세,1/4,3000,200,"3,000",39,36.3,북서향,37.504016,127.106267,NB 유동인구보장 O 추천 O 석촌역세권 O 1층 점포,"['25년이상', '융자금없는', '역세권', '1층']",,송파구 석촌동
2427101978,석촌호수나인파크,오피스텔,매매,5/22,26500,0,"2억 6,500",59,19.34,북향,37.506293,127.098912,삭촌호수가 잘 보이는  풀옵션 복층 오피스텔 매매 입니다,"['10년이내', '복층', '소형평수']",A동,송파구 석촌동
2427284332,중소형사무실,사무실,월세,4/7,1500,110,"1,500",120,40,남동향,37.505298,127.105515,석촌역 초역세권 I 주차편리 I 컨디션 우수,"['25년이내', '융자금없는', '역세권', '중층']",,송파구 석촌동
2427370239,중소형사무실,사무실,월세,3/5,3000,170,"3,000",92,82.65,남동향,37.501545,127.104338,"전용25, 석촌역세권, 주차1대O","['25년이내', '융자금적은', '중층', '주차가능']",,송파구 석촌동
2427390031,중소형사무실,사무실,월세,2/6,1000,130,"1,000",70,55.62,북동향,37.507078,127.104781,"전용15, 석촌역세권 에이스","['10년이내', '융자금적은', '역세권', '지상층(1층제외)']",,송파구 석촌동
2427366649,중소형사무실,사무실,월세,3/4,1000,90,"1,000",133,59.4,북서향,37.502626,127.100354,"전용18, 석촌고분역 코앞","['25년이상', '융자금적은', '역세권', '고층']",,송파구 석촌동
