atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2426009093,중소형사무실,사무실,월세,4/6,3000,230,"3,000",193,165.3,북동향,37.500547,127.137093,,"['25년이내', '역세권', '중층']",,송파구 오금동
2427547876,송파더플래티넘,아파트,전세,4/16,63000,0,"6억 3,000",89,66.91,남향,37.503122,127.135874,성내천앞 리모델링 아파트 첫입주 방3.화2,"['2년이내', '방세개', '화장실두개', '저층']",102동,송파구 오금동
2427551559,오금쌍용스윗닷홈2차,아파트,전세,10/15,100000,0,10억,173,143.82,남동향,37.506946,127.132193,확장올수리  방이역  초중고앞  남한산성최고뷰  주차공간넉넉,"['25년이내', '융자금없는', '올수리', '대형평수']",201동,송파구 오금동
2425905670,중소형사무실,사무실,월세,5/6,3000,200,"3,000",185,148.5,남동향,37.502063,127.137477,성내천 뷰 O 기둥없는 네모반듯 O 깔끔한 사무실 O,"['25년이내', '고층', '주차가능']",,송파구 오금동
2427422599,마나하임,오피스텔,매매,3/9,26000,0,"2억 6,000",36,28.92,남동향,37.50551,127.132958,전세끼고 매매진행함 세탁기 없는 옵션임,"['10년이내', '화장실한개', '소형평수', '방두개']",1동,송파구 오금동
2427436398,송파더플래티넘,아파트,전세,12/16,63000,0,"6억 3,000",89,66.94,남향,37.503122,127.135874,"신축 첫입주, 남향, 방 3, 화 2, 풀시스템에어컨, 즉시입주.","['2년이내', '방세개', '화장실두개']",102동,송파구 오금동
2427170318,중소형사무실,사무실,월세,1/3,1000,70,"1,000",33,33,서향,37.503623,127.136209,"아파트상가 1층, 저렴한 관리비, 즉시입주","['25년이상', '1층', '관리비10만원이하', '주차가능']",,송파구 오금동
2427554618,송파레미니스2단지,아파트,전세,12/23,68000,0,"6억 8,000",124,84.82,남향,37.507353,127.137193,주인의뢰 황금공인 02 409 9108 남향 깔끔합니다 오래 거주 됩니다,"['10년이내', '방세개', '화장실두개', '중층']",204동,송파구 오금동
2427450633,마나하임,오피스텔,매매,3/9,26000,0,"2억 6,000",36,28.92,남서향,37.50551,127.132958,전세끼고 매매진행함 인덕션 시스템에어컨 냉장고있음,"['10년이내', '화장실한개', '소형평수', '방두개']",1동,송파구 오금동
2427306546,마나하임,오피스텔,매매,4/9,24000,0,"2억 4,000",38,29.84,북동향,37.50551,127.132958,급매임.현 세입자 거주중  세탁기없는 옵션입니다,"['10년이내', '급매', '화장실한개', '소형평수']",1동,송파구 오금동
2427270857,송파더플래티넘,아파트,월세,3/16,1000,70,"1,000",138,106.23,서향,37.502546,127.135938,"신축, 풀옵션, 세대분리형 원룸, 풀옵션, 즉시입주","['2년이내', '세대분리', '대형평수']",101동,송파구 오금동
2427559498,빌라,빌라,전세,2/5,35000,0,"3억 5,000",85,58.32,남향,37.502061,127.135305,하시입주.깨끗.살기좋은 집터.,"['15년이내', '방세개', '화장실두개', '중층']",,송파구 오금동
2427423331,오금아르미안,아파트,매매,6/6,32000,0,"3억 2,000",40,35.77,남동향,37.503743,127.13525,병렬식주차 수리하여 상태좋음,"['25년이내', '소형평수', '탑층', '방두개']",1동,송파구 오금동
2427456168,빌라,빌라,월세,중/5,34900,10,"3억 4,900",60,55.38,남서향,37.506041,127.132846,입주협의 밝은 남향 전세대출 가능함.,"['10년이내', '소형평수', '방세개', '화장실한개']",,송파구 오금동
2427442810,중소형사무실,사무실,월세,2/5,1000,75,"1,000",70,42.98,서향,37.504698,127.135392,주차장이 넓은 가성비 사무실,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",,송파구 오금동
2427436680,중소형사무실,사무실,월세,3/6,3000,270,"3,000",165,149,북서향,37.506782,127.132803,"더블역세권3,5호선, 원복 완료 호실로 즉시입주 가능","['25년이상', '융자금없는', '중층', '주차가능']",,송파구 오금동
