atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2427530222,올림픽파크포레온,아파트분양권,월세,11/34,5000,170,"5,000",62,39.95,동향,37.527838,127.137856,안녕.18 5호선상가연결동 초로얄동 초로얄층 전세월세둘다가능,"['2년이내', '역세권', '대단지', '소형평수']",102동,송파구 오륜동
2427535625,일반원룸,원룸,월세,3/4,1000,60,"1,000",36,30,북동향,37.528085,127.135003,넓은 풀옵션 가성비 원룸 왕큰방,"['25년이상', '역세권', '화장실한개']",,송파구 오륜동
2427520460,하나플러스2,아파트,매매,5/13,103000,0,"10억 3,000",104,84.7,남향,37.52519,127.13149,34.집주인거주.상태굿.보성중.보성고등학교인접.,"['25년이내', '방세개', '화장실두개', '중층']",101동,송파구 오륜동
2426105363,상가주택,상가주택,전세,3/4,25000,0,"2억 5,000",80,72,남향,37.531234,127.138216,남향으로 내부가 넓습니다 주차가능 대출가능 반전세도 가능,"['25년이상', '융자금없는', '역세권']",,송파구 오륜동
2427438319,올림픽파크포레온,아파트분양권,전세,25/34,47000,0,"4억 7,000",62,39.95,동향,37.524016,127.13638,LUCKY 뻥뷰 풀에어컨 근린공원 도서관 인접동 ,"['2년이내', '역세권', '대단지', '화장실한개']",201동,송파구 오륜동
2427423887,올림픽파크포레온,아파트분양권,전세,19/25,90000,0,9억,85,59.99,남향,37.526804,127.137426,안녕. 25 주인직접 뻥뷰 풀에어컨,"['2년이내', '역세권', '대단지', '방세개']",105동,송파구 오륜동
2427374676,올림픽파크포레온,아파트분양권,전세,12/34,55000,0,"5억 5,000",62,39.95,동향,37.527166,127.137748,"안녕.18 신혼부부추천,5호선둔촌동역초역세권,5호선상가인근동","['2년이내', '융자금없는', '역세권', '대단지']",104동,송파구 오륜동
2427522981,다가구,단독/다가구,월세,중/4,5000,70,"5,000",57,50,남향,37.530182,127.138505,"올수리된 새집, 큰방 2개 환한 남향집, 둔촌동역세권, 주변 인프라개선","['25년이상', '융자금없는', '올수리', '역세권']",,송파구 오륜동
2427531151,올림픽파크포레온,아파트분양권,전세,13/34,50000,0,5억,62,39.95,남동향,37.524016,127.13638,"좋은날. 확트인뻥뷰, 근린공원,수영장커뮤니티,5.9호선 양방향이용편리","['2년이내', '역세권', '대단지', '소형평수']",201동,송파구 오륜동
2426806505,올림픽파크포레온,아파트분양권,전세,24/34,50000,0,5억,62,39.95,남향,37.527447,127.138226,안녕. 18 로얄동 트인뷰 로얄동층,"['2년이내', '역세권', '대단지', '소형평수']",103동,송파구 오륜동
2427511529,광남캐스빌1,아파트,매매,2/7,73000,0,"7억 3,000",72,63.22,남향,37.524103,127.132394,올리모델링된 거주가능한집으로 사진과같이 깨끗하며 내부 보러 오세요,"['15년이내', '필로티', '방세개']",1동,송파구 오륜동
2427504043,힐데스하임올림픽파크,아파트,매매,11/13,106000,0,"10억 6,000",99,80.04,남향,37.524297,127.132747,신축3년차 로얄층 남향,"['4년이내', '방세개', '화장실두개']",102동,송파구 오륜동
2427135086,올림픽파크포레온,아파트분양권,전세,34/34,55000,0,"5억 5,000",75,49.95,남향,37.527447,127.138226,LUCKY 초품아 5호선 초역세 남향 탑층 뻥뷰 풀에어,"['2년이내', '역세권', '대단지', '화장실한개']",103동,송파구 오륜동
2427456038,단지내상가,상가,월세,3/4,5000,400,"5,000",108,45.27,남서향,37.526935,127.138757,"12,032세대 대단지 프리미엄 상가 3층","['2년이내', '역세권', '고층', '주차가능']",,송파구 오륜동
2427441906,올림픽파크포레온,아파트분양권,전세,20/34,55000,0,"5억 5,000",75,49.95,동향,37.524016,127.13638,LUCKY 뻥뷰 최고사양 풀옵션 신혼부부 추천 ,"['2년이내', '역세권', '대단지', '화장실한개']",201동,송파구 오륜동
2427441533,올림픽파크포레온,아파트분양권,전세,26/34,58000,0,"5억 8,000",62,39.95,서향,37.524016,127.13638,LUCKY 고층 뻥뷰 융자無 풀에어컨 중문 상가 공원 도서관 인접,"['2년이내', '역세권', '대단지', '화장실한개']",201동,송파구 오륜동
2427472367,올림픽파크포레온,아파트분양권,전세,28/35,95000,0,"9억 5,000",112,84.99,남서향,37.523607,127.138344,조합원 직접의뢰 물건입니다. 융자없고 동간거리 넓은 집입니다.,"['2년이내', '역세권', '대단지', '방세개']",206동,송파구 오륜동
2427483880,중소형사무실,사무실,월세,B1/4,7500,550,"7,500",401,344.5,북동향,37.528779,127.135939,둔촌동역 앞 코너 넓은 지하1층 상가,"['25년이상', '융자금없는', '역세권', '지하층']",,송파구 오륜동
2427480165,빌라,빌라,월세,4/5,10000,70,1억,68,57.05,북동향,37.527873,127.135001,"방3화1 ,5호선 둔촌동역 전통시장 주차가능","['25년이내', '역세권', '방세개', '화장실한개']",,송파구 오륜동
2427459038,올림픽파크포레온,아파트분양권,전세,33/34,55000,0,"5억 5,000",62,39.95,동향,37.527447,127.138226,FOREON TOP 18A 조합 장기거주 뻥뷰 개방감 조망최상,"['2년이내', '역세권', '대단지', '소형평수']",103동,송파구 오륜동
2427436895,올림픽파크포레온,아파트분양권,전세,11/34,47000,0,"4억 7,000",62,39.95,동향,37.527838,127.137856,LUCKY 5호선 초역세 선호동 대표상가 둔촌초 ,"['2년이내', '역세권', '대단지', '화장실한개']",102동,송파구 오륜동
2427405308,빌딩,건물,매매,5/B1,750000,0,75억,271,867.67,,37.530019,127.131578,둔촌주공 호재 대로변 사거리 코너변 올근생 임대수익용 추천 건물,['25년이내'],,송파구 오륜동
2427380862,올림픽파크포레온,아파트분양권,전세,7/34,55000,0,"5억 5,000",75,49.95,남서향,37.527166,127.137748,22A. 즉시계약가능 남서V호텔급커뮤니티 1분거리,"['2년이내', '역세권', '대단지', '방두개']",104동,송파구 오륜동
2427380547,광남,아파트,전세,3/7,55000,0,"5억 5,000",99,84.24,남동향,37.529027,127.137753,"둔촌역 역세권, 둔촌시장, 한산초, 한산중 인접, 내부상태좋음 ","['25년이내', '융자금없는', '역세권', '방세개']",101동,송파구 오륜동
2427140918,일반원룸,원룸,월세,2/3,500,35,500,30,23,북향,37.52993,127.131938,지상2층 분리형 원룸 샷시 화장실 씽크대 수리되어깔끔 가성비 좋은 원룸,"['25년이상', '융자금없는', '역세권']",,송파구 오륜동
2427380524,올림픽파크포레온,아파트분양권,매매,8/30,220000,0,22억,112,84.99,남향,37.523943,127.137732,34A. 초기자금10억. 추가부담포함. 입주잔금조건. 직접의뢰.,"['2년이내', '역세권', '대단지', '방세개']",203동,송파구 오륜동
2427207556,집앤사비카(도시형),아파트,월세,9/11,20000,40,2억,43,32.22,북동향,37.529793,127.132609,원룸 원거실 신혼부부 직장인 추천 hug대출 및 보증보험 가능,"['4년이내', '역세권', '화장실한개']",1동,송파구 오륜동
2427336088,중소형사무실,사무실,월세,1/3,1500,80,"1,500",33,30,북서향,37.529792,127.131826,무권리 상가. 도로 접해서 입점 좋아요. 역 도보이동가능,"['25년이상', '1층', '관리비10만원이하', '총3층']",,송파구 오륜동
2427377990,단지내상가,상가,월세,1/4,20000,1100,2억,99,41.71,남서향,37.526935,127.138757,대단지 상가 1층 중앙 복도 에스컬레이터 앞 코너,"['2년이내', '역세권', '1층', '주차가능']",,송파구 오륜동
2427271318,일반상가,상가,월세,B1/3,2000,200,"2,000",167,167,남동향,37.528858,127.137208,강동 송파 상가 사무실,"['25년이상', '융자금적은', '역세권', '지하층']",,송파구 오륜동
2427377712,단지내상가,상가,월세,1/4,10000,600,1억,65,27.27,남서향,37.526935,127.138757,대단지 상가 1층 중앙 복도 노출 좋은 소형 상가,"['2년이내', '역세권', '1층', '주차가능']",,송파구 오륜동
2427278301,빌라,빌라,매매,2/5,43500,0,"4억 3,500",49,39.88,남향,37.530363,127.135062,급매 18년식 3룸2화 천정에어컨 둔촌동역 엘베 입주협의,"['10년이내', '역세권', '급매']",,송파구 오륜동
2427327652,올림픽파크포레온,아파트분양권,매매,26/35,220000,0,22억,113,84.98,남서향,37.523607,127.138344,"ALL34. 초투9억 입주시잔금, 귀한 진성매물","['2년이내', '역세권', '대단지', '방세개']",206동,송파구 오륜동
2427372458,올림픽파크포레온,아파트분양권,전세,30/34,50000,0,5억,62,39.98,서향,37.527166,127.137748,로얄층 로얄동 뻥뷰,"['2년이내', '역세권', '대단지', '소형평수']",104동,송파구 오륜동
2427081750,라이프,아파트,매매,11/12,88000,0,"8억 8,000",94,84.6,남향,37.529464,127.13958,2년전 특올수리 주인거주 남향 생활여건 편리,"['25년이상', '올수리', '방세개']",101동,송파구 오륜동
2427253571,일반상가,상가,월세,5/5,6000,480,"6,000",167,162.32,남동향,37.529699,127.136586,올림픽파크포레온 단지 건너편 리모델링 앞두고 있는 개원자리,"['25년이상', '융자금없는', '역세권', '고층']",,송파구 오륜동
2427246877,빌라,빌라,월세,9/11,20000,40,2억,39,32.22,남향,37.529688,127.132648,둔촌역6분 남향 HUG대출 보험 넓은분리형 풀옵션 주차가능 빠른입주,"['4년이내', '역세권', '세대분리']",,송파구 오륜동
2427225923,올림픽파크포레온,아파트분양권,전세,32/34,60000,0,6억,75,49.95,남향,37.527447,127.138226,Foreon 22P인기동5호선 완전뻥뷰로 탁틔인 삶을 즐기세요,"['2년이내', '역세권', '대단지', '방두개']",103동,송파구 오륜동
2427189996,올림픽파크포레온,아파트분양권,전세,7/34,60000,0,6억,75,49.95,남동향,37.527838,127.137856, FORESTAR 더블역세권 강동구최고의커뮤니티 수영장 조식제공,"['2년이내', '역세권', '대단지', '방두개']",102동,송파구 오륜동
2427270423,한솔애리즈2차,아파트,매매,8/8,77000,0,"7억 7,000",73,56.67,남향,37.528982,127.13411,"깨끗한관리상태,방2,화2,넓은거실 옥상별도방1,화1있음","['25년이내', '역세권', '탑층']",201동,송파구 오륜동
2427026504,일반상가,상가,월세,1/5,2000,120,"2,000",85,40,북동향,37.530925,127.132938,코너상가 가시성 우수,"['10년이내', '융자금없는', '1층', '관리비10만원이하']",,송파구 오륜동
2427183769,올림픽파크포레온,아파트분양권,전세,33/34,45000,0,"4억 5,000",46,29.97,동향,37.527166,127.137748,조합원분 세스템에어컨 빌트인오븐 침실반침장,"['2년이내', '역세권', '대단지', '소형평수']",104동,송파구 오륜동
2426767835,파크프라자(주상복합),아파트,매매,4/12,57000,0,"5억 7,000",73,58.13,북서향,37.526878,127.134632,올수리 주차2가능 입주가능 갭투2억가능,"['25년이내', '올수리', '역세권']",1동,송파구 오륜동
2427048573,중소형사무실,사무실,월세,2/5,2000,120,"2,000",91,78.26,남향,37.530697,127.139022,"실사0,둔촌동역6분,에어콘2대,내부깔끔,교통편리","['25년이내', '융자금없는', '역세권', '중층']",,송파구 오륜동
2427163658,올림픽파크포레온,아파트분양권,전세,15/34,55000,0,"5억 5,000",75,49.95,남향,37.527838,127.137856,"22. 소음X, 에어컨풀 초역세권 커뮤니티와 모든곳 동선이 편리","['2년이내', '융자금없는', '역세권', '대단지']",102동,송파구 오륜동
2427005367,중소형사무실,사무실,월세,2/5,3000,80,"3,000",66,52.89,북향,37.52705,127.132575,KD 최우수사무소 l 실사진O l 가성비사무실 l 수도시설o l 채광굿,"['25년이상', '역세권', '중층', '관리비10만원이하']",,송파구 오륜동
2426884517,단지내상가,상가,월세,1/4,20000,2000,2억,194,81.48,북서향,37.526935,127.138757,올림픽파크포레온 5호선 직통연결 1층 메인 ,"['2년이내', '역세권', '1층', '주차가능']",,송파구 오륜동
2427143390,중소형사무실,사무실,월세,B1/4,1000,60,"1,000",98,89.25,북동향,37.527204,127.132793,KD 최우수사무소 l 실사진O l 가성비 좋은 사무실 또는 창고,"['25년이상', '역세권', '지하층', '관리비10만원이하']",,송파구 오륜동
2427069329,올림픽파크포레온,아파트분양권,전세,8/34,50000,0,5억,62,39.95,남동향,37.524016,127.13638,"5호선역세권 일조권,조망굿 트인뷰 상가커뮤니티인접 최고위치","['2년이내', '융자금없는', '역세권', '대단지']",201동,송파구 오륜동
2427045191,단지내상가,상가,월세,1/4,5000,600,"5,000",47,19.88,북서향,37.526935,127.138757,올림픽파크포레온 5호선직통상가 1층 메인,"['2년이내', '역세권', '1층', '주차가능']",,송파구 오륜동
2426951222,올림픽파크포레온,아파트분양권,전세,24/34,65000,0,"6억 5,000",75,49.95,남향,37.524016,127.13638,LUCKY 정남향 막힘없는 시티뷰 풀에어컨 신혼부부 추천,"['2년이내', '역세권', '대단지', '화장실한개']",201동,송파구 오륜동
2427097974,상가주택,상가주택,월세,4/4,500,40,500,20,18,남동향,37.526587,127.134139,둔촌동역 역세권 분리형 원룸,"['25년이상', '역세권', '세대분리']",,송파구 오륜동
