atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2427539089,위례한화오벨리스크센트럴스퀘어,오피스텔,전세,15/16,40000,0,4억,117,44.46,남동향,37.473773,127.141226,13.4P I 안심전세 I 주거용1.5룸 I 풀옵션 l 고층뻥뷰 l,"['10년이내', '융자금없는', '화장실한개']",101동,송파구 위례동
2427532717,위례신도시신안인스빌아스트로,아파트,매매,3/25,155000,0,"15억 5,000",124,96.94,남서향,37.475351,127.144651,에풀 중앙광장 트램 학원이나 생활편의시설이용하기 용이한 위치 교통편리,"['10년이내', '필로티', '방세개', '화장실두개']",6202동,송파구 위례동
2427538497,위례아트리버푸르지오2단지(주상복합),아파트,매매,14/15,175000,0,"17억 5,000",126,97.7,남향,37.47017,127.14253,38P AIPHA 추천 시스템 에어컨 쿡탑 창곡천 뷰,"['10년이내', '방네개이상', '화장실두개', '고층']",204동,송파구 위례동
2427528775,위례신도시신안인스빌아스트로,아파트,전세,10/25,75000,0,"7억 5,000",124,96.94,남서향,37.475306,127.14544,중앙광장 트램 학원이나 생활편의시설이용하기 용이한 위치로 교통편리함,"['10년이내', '융자금없는', '방네개이상', '화장실두개']",6203동,송파구 위례동
2427578721,송파위례24단지꿈에그린,아파트,전세,2/18,49000,0,"4억 9,000",70,51.77,남향,37.475185,127.13974,"송파학군, 초중심상권 이용편리, 남향,신혼부부추천","['15년이내', '대단지', '방두개', '화장실한개']",2422동,송파구 위례동
2427591556,위례센트럴자이,아파트,매매,14/15,105000,0,"10억 5,000",75,51.89,동향,37.473311,127.140074,입주갭투가 채광굿 중앙광장뷰 투자가치 최고 꿀단지,"['10년이내', '대단지', '방두개', '화장실한개']",3202동,송파구 위례동
2427588823,위례보미리즌빌(주상복합),아파트,전세,6/15,75000,0,"7억 5,000",124,96.21,남향,37.471842,127.141135,"융자무,풀시스템에어컨,전망좋고 따뜻한남향,집상태아주깨끗","['10년이내', '융자금적은', '방세개', '화장실두개']",101동,송파구 위례동
2427584993,위례센트럴자이,아파트,전세,3/15,60000,0,6억,75,51.89,동향,37.471519,127.140348,22 융무 에유 인덕션 소나무뷰 굿 02 404 7900,"['10년이내', '융자금없는', '대단지', '방두개']",3213동,송파구 위례동
2427565123,위례한화오벨리스크센트럴스퀘어,오피스텔,전세,4/16,18000,0,"1억 8,000",54,20.28,남향,37.473197,127.141272,"원룸풀옵션, 전입가, 전세대출가능 , 중앙상권이용편리","['10년이내', '융자금없는', '소형평수', '방한개']",102동,송파구 위례동
2427543155,위례신도시신안인스빌아스트로,아파트,전세,14/15,80000,0,8억,124,96.94,남향,37.474898,127.143898,"햇살 가득 한 집, 방4, 에풀, 식세기, 오븐 완비됨, 조정가능.","['10년이내', '방네개이상', '화장실두개', '고층']",6209동,송파구 위례동
2427522384,위례중앙푸르지오(주상복합),아파트,전세,16/19,80000,0,8억,111,84.78,남향,37.47494,127.142692,"유명,주인거주집,정남향,입주협의","['10년이내', '융자금없는', '방세개', '화장실두개']",202동,송파구 위례동
2427544566,위례신도시신안인스빌아스트로,아파트,전세,3/15,80000,0,8억,123,96.99,남향,37.47469,127.144399,융자없음 장기거주가능 위례최고입지 입구동 중심상권및대중교통이용편리,"['10년이내', '융자금없는', '방세개', '화장실두개']",6208동,송파구 위례동
2427586080,위례중앙푸르지오(주상복합),아파트,전세,15/19,98000,0,"9억 8,000",139,106.05,남향,37.474471,127.142638,주인직접의뢰. 방4. 융무. 시에유3. 식세기 .줄눈,"['10년이내', '융자금없는', '대형평수', '방네개이상']",201동,송파구 위례동
2427511575,위례센트로엘,아파트,월세,12/15,65000,60,"6억 5,000",128,98.79,남향,37.476155,127.144376,"O2.400.2002 방4, 에어컨,상큼 컨디션,중앙 광장 위례 그 중심","['10년이내', '융자금없는', '방네개이상', '화장실두개']",6101동,송파구 위례동
2427591853,위례센트럴자이,아파트,매매,2/15,118000,0,"11억 8,000",83,59.83,동향,37.473311,127.140074,STAR 추천.아이키우기 최적합 필로티.인테리어 굿,"['10년이내', '대단지', '필로티', '방세개']",3202동,송파구 위례동
