atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2426251071,일반상가,상가,월세,9/9,3000,220,"3,000",107,107,남향,37.510884,127.085232,"실사진O 인테리어 완비된 다용도공간, 전용30","['25년이내', '융자금없는', '역세권']",,송파구 잠실3동
2426230082,일반상가,상가,월세,1/4,3000,300,"3,000",75,75,동향,37.509469,127.083124,"잠실새내역 성당,빌라 배후 시설최고 성업중인 분식집 권리협의","['25년이상', '역세권', '1층']",,송파구 잠실3동
2427574083,트리지움,아파트,월세,19/27,40000,320,4억,110,84.83,남동향,37.508864,127.088918,33  잠실새내역도보6분 생활시설초편리 롯데백화점 롯데타워 새마을시장,"['25년이내', '대단지', '방세개', '화장실두개']",320동,송파구 잠실3동
2427428839,쌍용더플래티넘잠실,오피스텔,매매,13/16,36000,0,"3억 6,000",49,27.07,북향,37.510994,127.084369,"강추, 갭투자, 수익형 임대중인 신축 쌍용더플래티넘 잠실 오피스텔 매매","['2년이내', '역세권', '화장실한개']",101동,송파구 잠실3동
2427280916,일반상가,상가,월세,B1/3,5000,120,"5,000",177,177,동향,37.509032,127.084372,"실사진O 유동인구 많은 새마을시장 큰 면적 자유업종, 원상복구 가능","['25년이상', '융자금없는', '역세권', '지하층']",,송파구 잠실3동
2427280907,일반상가,상가,월세,1/3,5000,160,"5,000",40,30,동향,37.509032,127.084372,"유동인구 넘치는 1층 점포, 전용9","['25년이상', '역세권', '1층', '관리비20만원이하']",,송파구 잠실3동
2427274831,NS파인트리,오피스텔,매매,9/16,33000,0,"3억 3,000",38,23.78,남향,37.511065,127.083523,"강추, 갭투자 최적조건, 잠실새내역 초역세권 주상복합 오피스텔 매매","['4년이내', '역세권', '화장실한개']",1동,송파구 잠실3동
2427385194,빌라,빌라,월세,3/6,2000,140,"2,000",57,47.35,남서향,37.509495,127.083741,잠실새내역 풀옵션 투룸 주차O 빠른입주O,"['15년이내', '역세권', '화장실한개']",,송파구 잠실3동
2427495071,일반상가,상가,월세,1/4,5000,380,"5,000",125,125.72,서향,37.510284,127.0823,잠실새내 핫한 상권 1층 상가 강력추천 대박나는 상가,"['25년이내', '역세권', '1층', '관리비20만원이하']",,송파구 잠실3동
2427264347,쌍용더플래티넘잠실,오피스텔,매매,7/16,34000,0,"3억 4,000",45,24.08,남향,37.510994,127.084369,"갭투자, 수익형 신축 임대 중인 쌍용더플래티넘 잠실 오피스텔 매매","['2년이내', '역세권', '화장실한개']",101동,송파구 잠실3동
2427409278,일반상가,상가,월세,9/9,3000,220,"3,000",107,107.8,남향,37.510884,127.085232,"9층  전용30p,  l먹자골목, 중심메인l  ,위치최고,  l인테리어l","['25년이내', '역세권', '고층', '주차가능']",,송파구 잠실3동
2427261358,일반상가,상가,월세,9/10,8000,550,"8,000",115,115.7,북향,37.511426,127.082794,"전용35 아파트 대단지 잠실새내역 대로변 초입 병의원,카페,운동시설","['25년이내', '융자금없는', '역세권', '고층']",,송파구 잠실3동
2427406980,중소형사무실,사무실,월세,3/5,3000,210,"3,000",220,90,남서향,37.510138,127.085401,"3층  전용27p,  l주차편리l  ,룸2,  l엘베있음l  ,초역세권,","['25년이상', '융자금없는', '역세권', '중층']",,송파구 잠실3동
2427481559,복합상가,상가,월세,2/16,3000,200,"3,000",44,24.1,남향,37.511031,127.084175,"잠실새내역1분거리, 초역세권, 신축, 쌍용더플래티넘복합상가 ","['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 잠실3동
2427335190,중소형사무실,사무실,월세,3/5,2500,150,"2,500",106,99,북동향,37.50939,127.081761,종합운동장역 도보 10분이내 가성비AAA급 추천매물,"['25년이내', '중층', '관리비10만원이하', '주차가능']",,송파구 잠실3동
2427167073,중소형사무실,사무실,월세,9/9,3000,220,"3,000",82,82.64,남향,37.510884,127.085232,AEGIS 잠실새내역 인근 먹자초입 입지 굿 사무실,"['25년이내', '융자금없는', '역세권', '고층']",,송파구 잠실3동
2427221634,중소형사무실,사무실,월세,5/6,5000,400,"5,000",173,165,남동향,37.508055,127.087723,"P 실50 잠실새내역 대로변, 학원사거리 인접","['25년이상', '융자금없는', '역세권', '고층']",,송파구 잠실3동
2427100667,일반상가,상가,월세,1/5,4000,320,"4,000",75,75,북향,37.509913,127.084505,,"['25년이상', '역세권', '1층', '주차가능']",,송파구 잠실3동
2427136867,상가건물,건물,매매,6/B1,1280000,0,128억,468,1752,,37.509959,127.082372,수익성 좋은 소형빌딩 매매,"['25년이상', '역세권']",,송파구 잠실3동
2427170659,상가건물,건물,매매,1/B5,700000,0,70억,259,829.81,,37.510204,127.0848,,"['25년이상', '역세권']",,송파구 잠실3동
2426955971,다가구,단독/다가구,매매,B1/B2,120000,0,12억,103,149.84,동향,37.507835,127.08394,잠실동 투자가치가 좋은 새마을주택 급매,"['25년이상', '급매', '방네개이상', '화장실네개이상']",,송파구 잠실3동
2427008682,일반상가,상가,월세,2/4,5000,270,"5,000",140,122.31,남동향,37.509707,127.081962,AEGIS 잠실동 먹자인근 BAR 시설완비 합리적인 금액 상가,"['25년이상', '융자금없는', '역세권', '중층']",,송파구 잠실3동
2427023690,중소형사무실,사무실,월세,3/4,2500,220,"2,500",127,127,서향,37.51041,127.082271,전용 약40 V  잠실새내역 5분거리,"['25년이상', '융자금없는', '역세권', '고층']",,송파구 잠실3동
2427034486,중소형사무실,사무실,월세,3/5,2000,200,"2,000",118,99,서향,37.509979,127.082823,"입지깡패, 역세권 무권리 인테리어 완비 사무실","['25년이내', '융자금없는', '역세권', '중층']",,송파구 잠실3동
2427068815,단독,단독/다가구,매매,B1/B2,150000,0,15억,104,162.33,남향,37.50857,127.085718,위치좋고 투자하기 좋은 단독주택 매매입니다.,"['25년이상', '역세권', '방네개이상', '화장실세개']",,송파구 잠실3동
2426861858,쌍용더플래티넘잠실,오피스텔,전세,8/16,26000,0,"2억 6,000",43,23.26,남향,37.510994,127.084369,전입O 대출O 보증보험O 신축 2호선 잠실새내 쌍용더플래플래티넘잠실,"['2년이내', '융자금없는', '역세권']",101동,송파구 잠실3동
2426860579,복합상가,상가,월세,2/16,2000,190,"2,000",41,22.54,남향,37.510904,127.084372,"잠실새내역1분거리 쌍용더플래티넘 3층 신축상가 미용실,병원,음식점 등","['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 잠실3동
2426859858,복합상가,상가,월세,4/16,2000,120,"2,000",50,27.21,남향,37.510904,127.084372,"잠실새내역1분거리 쌍용더플래티넘 1층신축상가 프랜차이즈,커피숍,편의점","['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 잠실3동
2426859647,복합상가,상가,월세,2/16,2000,200,"2,000",43,23.34,남향,37.510904,127.084372,"잠실새내역1분거리 쌍용더플래티넘 신축상가 패스트푸드점,병원,음식점등","['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 잠실3동
2426728106,쌍용더플래티넘잠실,오피스텔,매매,15/16,38000,0,"3억 8,000",50,27.27,북향,37.510994,127.084369,특매매 큰평수 초고층 쌍용더플래티넘잠실 오피스텔,"['2년이내', '역세권', '화장실한개']",101동,송파구 잠실3동
