atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2427591544,위례아이파크2차,아파트,월세,28/29,30000,280,3억,149,115.64,남동향,37.480287,127.143672,위례별 귀한 반전세. 방4. 풀에어컨. 위례별초 학군.,"['10년이내', '융자금없는', '대형평수', '방네개이상']",204동,송파구 장지동
2427523362,위례신도시송파푸르지오,아파트,전세,4/28,95000,0,"9억 5,000",145,112.11,남서향,37.481614,127.140299,"판상형 방4 큰드레스룸 융무, 에어컨유 고급커뮤니티시설 장지수변공원","['10년이내', '대형평수', '방네개이상', '화장실두개']",102동,송파구 장지동
2427589882,위례아이파크2차,아파트,전세,28/29,110000,0,11억,149,115.64,남동향,37.480287,127.143672,"45.방4.풀에어컨, 밝고 트인뷰. 위례별초 학군.","['10년이내', '융자금없는', '대형평수', '방네개이상']",204동,송파구 장지동
2427577780,위례아이파크2차,아파트,전세,3/29,85000,0,"8억 5,000",118,90.05,남동향,37.479764,127.143599,융자무 판상형 로얄타입 에어컨옵션 중앙상권근접 생활편리,"['10년이내', '융자금없는', '방세개', '화장실두개']",203동,송파구 장지동
2427561921,송파더센트레,아파트,매매,14/15,94000,0,"9억 4,000",73,51.77,남향,37.479155,127.140485,채광 조망권좋은 조용한  동,"['15년이내', '대단지', '방두개', '화장실한개']",2202동,송파구 장지동
2427583477,위례아이파크,아파트,전세,4/24,95000,0,"9억 5,000",151,114.83,남동향,37.477257,127.142078,"방4, 학교 가까운동, 융자없음, 에어컨풀","['10년이내', '융자금없는', '대형평수', '방네개이상']",101동,송파구 장지동
2427491493,송파더센트레,아파트,매매,3/15,95000,0,"9억 5,000",73,51.77,남향,37.478637,127.141091,"실매물,올수리,확트인햇살좋은집,집상태굿,생활권편리,수변공원인접","['15년이내', '올수리', '대단지', '필로티']",2212동,송파구 장지동
2427176986,대형사무실,사무실,월세,9/12,15000,1100,"1억 5,000",883,462.72,남향,37.481102,127.142397,전용115 l 주차편리 l 대형평수,"['10년이내', '고층', '주차가능', '천장에어컨']",,송파구 장지동
2427410941,힐스테이트송파위례,아파트,매매,14/29,190000,0,19억,130,101.38,남동향,37.479895,127.142084,"전망채광굿, 위례별초학군, 송례초중학군, 주인거주 집상태 깨끗","['10년이내', '방네개이상', '화장실두개', '중층']",103동,송파구 장지동
2427486762,송파와이즈더샵,아파트,전세,23/24,80000,0,8억,128,96.76,남동향,37.47684,127.143365,"38 ,융무,로얄동 ,층 에어컨풀,상권이용편리","['10년이내', '융자금없는', '방세개', '화장실두개']",102동,송파구 장지동
2427532663,단지내상가,상가,월세,2/2,2000,100,"2,000",83,35.97,동향,37.479572,127.142455,"위례트램라인상가 노출좋음,무권리,교습소 등, 위치굿","['10년이내', '고층', '주차가능', '총2층']",,송파구 장지동
