atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2427335999,힐스테이트천호역젠트리스(주상복합),아파트,전세,27/45,75000,0,"7억 5,000",122,84.84,동향,37.53728,127.125552,뻥뷰. 풀옵션. 천호역1분 연결. 지하2부터 지상4까지 상가. 주차편리.,"['2년이내', '융자금없는', '역세권', '방세개']",A동,송파구 풍납2동
2427396737,강동상떼빌(주상복합),아파트,매매,19/20,110000,0,11억,151,119.7,남향,37.53712,127.130553,"강동역3분,  남향, 시스템에어컨교체, 확장","['25년이내', '역세권', '대형평수', '방세개']",1동,송파구 풍납2동
2427310140,힐스테이트천호역젠트리스(주상복합),아파트,전세,6/45,74000,0,"7억 4,000",120,84.94,남향,37.53728,127.125552,"신축 더블역세권, 가장선호하는타입, 남향","['2년이내', '융자금없는', '역세권']",A동,송파구 풍납2동
2427484713,힐스테이트천호역젠트리스(주상복합),아파트,월세,27/45,20000,220,2억,122,84.84,남동향,37.53728,127.125552,천호역더블역세권 탁트인고층뷰 보증금 조정가능 에4,"['2년이내', '역세권', '방세개', '화장실두개']",A동,송파구 풍납2동
2427374538,동남드림빌(주상복합),아파트,월세,6/11,30000,100,3억,101,80.93,동향,37.536666,127.127741,좋은집 좋은이웃 방3화2 천호역더블역세권 도보3분거리,"['25년이내', '역세권', '방세개', '화장실두개']",1동,송파구 풍납2동
2427477277,이안강동컴홈스테이2차,오피스텔,매매,8/13,35000,0,"3억 5,000",70,34.68,동향,37.537566,127.128664,분양가 빠른입주 전입가능 드레스룸 신축 풀옵션 복층 큰대로변 신혼부부,"['4년이내', '역세권', '복층']",1동,송파구 풍납2동
2427455911,강동상떼빌(주상복합),아파트,매매,19/20,100000,0,10억,119,94.36,서향,37.53712,127.130553,"입주 강동,천호역이용 넓은전용 가격협의","['25년이내', '역세권', '방세개', '화장실두개']",1동,송파구 풍납2동
2427460680,현대(30-2),아파트,매매,9/11,85000,0,"8억 5,000",80,59.36,남향,37.535495,127.126476,"천호역, 재건축 안전진단 통과, 실거주, 투자용","['25년이상', '방두개', '화장실한개']",101동,송파구 풍납2동
2427463396,힐스테이트천호역젠트리스,오피스텔,월세,14/23,1000,90,"1,000",48,17.04,북동향,37.537204,127.125755,첫입주 즉시입주 주거용 전입가능 신축 풀옵션 천호역바로앞 큰대로변,"['2년이내', '역세권', '소형평수']",B동,송파구 풍납2동
2427322838,힐스테이트천호역젠트리스(주상복합),아파트,전세,42/45,75000,0,"7억 5,000",121,84.76,남동향,37.53728,127.125552,"고층 멋진뷰 풀에어컨 무융자 5,8호선천호역바로","['2년이내', '융자금없는', '역세권', '방세개']",A동,송파구 풍납2동
2427322114,힐스테이트천호역젠트리스(주상복합),아파트,전세,13/45,85000,0,"8억 5,000",120,84.94,남향,37.53728,127.125552,"융무,남향,롯데타워뷰,김냉,옵션많아요,선호구조라인, 천호역 6번출구,","['2년이내', '역세권', '방세개']",A동,송파구 풍납2동
2427475459,이안강동컴홈스테이1차,오피스텔,매매,25/25,45000,0,"4억 5,000",69,29.57,남서향,37.537446,127.128856,급매 펜트하우스 최고층 롯데타워 한강뷰 옥상정원 바베큐 복층,"['4년이내', '마당', '테라스']",1동,송파구 풍납2동
2427340822,천호태영,오피스텔,매매,1/1,35000,0,"3억 5,000",55,48.31,동향,37.538341,127.130391,수리된집. 입주가능. 투룸 역세권,"['25년이내', '역세권', '1층', '소형평수']",102동,송파구 풍납2동
2427369228,성내e-편한세상2차,아파트,전세,2/13,55000,0,"5억 5,000",105,84.9,동향,37.534646,127.126237,피로티2층 개방감 있는구조 7월말전후입주협의,"['25년이내', '융자금없는', '필로티', '방세개']",201동,송파구 풍납2동
2427466802,힐스테이트천호역젠트리스(주상복합),아파트,전세,8/45,75000,0,"7억 5,000",122,84.84,동향,37.53728,127.125552,"융자무 풀에 작방,붙박이장 화장대 드룸,펜트리선반","['2년이내', '융자금없는', '역세권', '방세개']",A동,송파구 풍납2동
2427465105,힐스테이트천호역젠트리스,오피스텔,월세,13/23,1000,100,"1,000",50,17.55,서향,37.537204,127.125755,"신축오피스텔,천호역더블역세권","['2년이내', '융자금없는', '역세권', '소형평수']",B동,송파구 풍납2동
2427479261,중소형사무실,사무실,월세,5/12,3000,140,"3,000",76,40.51,북서향,37.537159,127.125845,첫입주 천호역 6번출구앞 중형사무실 신축코너 자주식주차,"['2년이내', '역세권', '중층', '관리비20만원이하']",,송파구 풍납2동
2427483796,중소형사무실,사무실,월세,8/23,1000,70,"1,000",37,19.84,남향,37.537159,127.125845,천호역더블역세권 복합상권 오피스,"['2년이내', '역세권', '중층', '주차가능']",,송파구 풍납2동
2427475241,힐스테이트천호역젠트리스(주상복합),아파트,월세,8/45,50000,100,5억,122,84.84,남동향,37.53728,127.125552,"천호역앞 채광 조망 좋은 집, 보증금 월세 조정가능 에어컨 4대","['2년이내', '융자금없는', '역세권']",A동,송파구 풍납2동
2427470962,힐스테이트천호역젠트리스,오피스텔,월세,15/23,1000,100,"1,000",48,17.04,남향,37.537204,127.125755,전입 가능 첫입주 5호선 천호역 역세권 풀옵션,"['2년이내', '역세권', '소형평수']",B동,송파구 풍납2동
2427428395,복합상가,상가,월세,1/45,6000,350,"6,000",52,23.5,북동향,37.537159,127.125845,천호역 6번출구 공원있는  상가점포 월세 감액,"['2년이내', '융자금없는', '역세권', '1층']",,송파구 풍납2동
2427450666,단지내상가,상가,월세,1/4,10000,650,1억,71,32.46,남향,37.537159,127.125845,천호역 바로앞 코너1층상가 즉시입주가,"['2년이내', '역세권', '1층', '주차가능']",,송파구 풍납2동
2427466400,복합상가,상가,월세,1/4,3000,330,"3,000",60,27.23,남동향,37.537159,127.125845,"신축 천호역더블역세권, 1층 상가","['2년이내', '융자금없는', '역세권', '1층']",,송파구 풍납2동
2427426982,힐스테이트천호역젠트리스,오피스텔,전세,14/23,35000,0,"3억 5,000",86,30.59,서향,37.537204,127.125755,최고급오피스텔.첫입주.전입가능,"['2년이내', '역세권', '화장실한개']",B동,송파구 풍납2동
2427465252,복합상가,상가,월세,1/4,7000,370,"7,000",63,28.6,북동향,37.537159,127.125845,"주상복합상가,천호역더블역세권,랜트프리가능,호실확장가능","['2년이내', '융자금없는', '역세권', '1층']",,송파구 풍납2동
2427458573,이안강동컴홈스테이2차,오피스텔,월세,6/13,3000,90,"3,000",54,27.06,서향,37.537566,127.128664,"보증금조절O, 주거용O, 전입신고O","['4년이내', '역세권', '복층']",1동,송파구 풍납2동
2427425240,빌라,빌라,매매,1/4,25000,0,"2억 5,000",47,47.88,남향,37.531829,127.129273,O파트너O 실입주가능／주인거주／올수리／잘관리된집,"['25년이상', '올수리', '1층']",,송파구 풍납2동
2427466020,복합상가,상가,월세,2/4,8000,460,"8,000",119,54.37,서향,37.537159,127.125845,"신축상가,천호역더블역세권,중심상권","['2년이내', '융자금없는', '역세권', '중층']",,송파구 풍납2동
2427390683,힐스테이트천호역젠트리스,오피스텔,매매,13/23,22500,0,"2억 2,500",48,17.04,북동향,37.537204,127.125755,천호역 역세권 임차 수요 대기중 신축 마이너스P 투자 강추,"['2년이내', '역세권', '소형평수']",B동,송파구 풍납2동
2427416261,힐스테이트천호역젠트리스(주상복합),아파트,전세,13/45,75000,0,"7억 5,000",122,84.84,남향,37.53728,127.125552,"천호역앞 탁트인 뷰 로얄층, 에어컨 4","['2년이내', '융자금없는', '역세권']",A동,송파구 풍납2동
2427380401,힐스테이트천호역젠트리스,오피스텔,월세,21/23,20000,15,2억,50,17.55,서향,37.537204,127.125755,"천호역앞 탁트인 한강조망 로얄층, 보증보험 전세대출 가능","['2년이내', '역세권', '소형평수']",B동,송파구 풍납2동
2427467592,복합상가,상가,매매,B1/4,52380,0,"5억 2,380",62,28.43,남동향,37.537159,127.125845,"계약금포기,천호역중심상권","['2년이내', '역세권', '지하층', '주차가능']",,송파구 풍납2동
2427449977,이안강동컴홈스테이1차,오피스텔,월세,24/25,5000,85,"5,000",57,24.15,남향,37.537446,127.128856,융자없는 깔끔하고 전입가능한 집 고층채광맛집,"['4년이내', '융자금없는', '역세권']",1동,송파구 풍납2동
2427466568,복합상가,상가,월세,2/4,5000,350,"5,000",75,34.45,북동향,37.537159,127.125845,"천호역1분 연결,렌트프리. 확장가. 테라스. 가시성굿","['2년이내', '융자금없는', '테라스', '역세권']",,송파구 풍납2동
2427465757,복합상가,상가,월세,2/4,2000,200,"2,000",52,23.72,남서향,37.537159,127.125845,"천호역더블역세권 주상복합상가,중심상권","['2년이내', '융자금없는', '역세권', '중층']",,송파구 풍납2동
2427466249,중소형사무실,사무실,월세,5/12,3000,150,"3,000",83,44.24,서향,37.537159,127.125845,"천호역더블역세권,신축오피스","['2년이내', '융자금없는', '역세권', '중층']",,송파구 풍납2동
