atclNo,cortarNo,atclNm,atclStatCd,rletTpCd,uprRletTpCd,rletTpNm,tradTpCd,tradTpNm,vrfcTpCd,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,repImgUrl,repImgTpCd,repImgThumb,lat,lng,atclFetrDesc,tagList,bildNm,minute,sameAddrCnt,sameAddrDirectCnt,sameAddrHash,sameAddrMaxPrc,sameAddrMinPrc,cpid,cpNm,cpCnt,rltrNm,directTradYn,minMviFee,maxMviFee,etRoomCnt,tradePriceHan,tradeRentPrice,tradeCheckedByOwner,cpLinkVO,dtlAddrYn,dtlAddr,sameAddrMaxPrc2,sameAddrMinPrc2,sellrNm
2425857390,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,B1,전세,MOBL,4/16,43400,0,"4억 3,400",85,59.97,남동향,24.05.27.,/20240528_246/land_naver_1716861528816unhUO_JPEG/2024052711572412818_38693_ws.jpg,10,f130_98,37.516088,126.841016,25강추 급전세 4베이구조 임대사업자 빠른입주가,"['4년이내', '융자금없는', '대단지']",105동,0,3,0,23A01B1N05332b0f3eb278810d972fabb34d883f6193f0578dae69f7741509f0763f2a08,"4억 3,400","4억 3,400",sunbang,선방,3,부동산CAFE호공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'sunbang', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2425798538,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,MOBL,8/18,72000,0,"7억 2,000",77,52.85,남동향,24.05.27.,/20240527_209/land_naver_1716779214518AX6yw_JPEG/%BB%E7%C1%F8-8.jpg,10,f130_98,37.517163,126.846212,"저렴,확장,에어컨 블라인드등 풀옵션,신내역도보가능,가격조정및 즉시입주","['4년이내', '대단지', '방두개']",306동,0,36,0,24A01A1N16882d27f23359846f5251c45f093a9799a6e84199955dd9c56c86721e4a792f,"7억 2,000","7억 1,000",bizmk,매경부동산,8,두산위브공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426086256,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,B1,전세,OWNER,14/21,60000,0,6억,110,84.97,남동향,24.05.28.,,,,37.517553,126.843391,"확장, 전망트임, 내부상태좋음, 입주협의","['4년이내', '대단지', '방세개', '화장실두개']",404동,0,35,0,25A01B1Na245c307ca2bbca4f867a4ffb61b131b6ea4969990a7f0e4559d50148f62a184,6억,6억,bizmk,매경부동산,8,우리공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426074781,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,OWNER,3/18,100000,0,10억,110,84.98,남향,24.05.28.,,,,37.516503,126.845958,33급매 화이트톤 시에컨4 중문등  숲세권조용한동,"['4년이내', '대단지', '급매', '방세개']",305동,0,49,0,24A01A1Nef2426a14612ccb424246d3cc28fb2e79d7bcd1ac14a54e0e7c5c4618982acc9,10억,10억,sunbang,선방,8,부동산CAFE호공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'sunbang', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426078377,1147010300,스카이캐슬,R0,A01,A01,아파트,B1,전세,OWNER,5/14,33000,0,"3억 3,000",67,52.82,남향,24.05.28.,,,,37.520542,126.844645,시스템에어컨 등 최고옵션 및 인테리어 입주협의,"['10년이내', '방세개', '화장실두개', '중층']",1동,0,14,0,23A01B1Nc003510400595ef0f6c5abd143efdefaa11cbebaa1aa9d5cbd01afbd16d477b4,"3억 3,000","3억 3,000",bizmk,매경부동산,4,목동성은부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426071709,1147010300,신정뉴타운롯데캐슬,R0,A01,A01,아파트,A1,매매,OWNER,14/20,115000,0,"11억 5,000",153,116.37,남향,24.05.28.,,,,37.518923,126.847877,"46,초급매,방4,정남향,확장,시스템에어컨5대,인테리어된집,입주협의","['15년이내', '급매', '대형평수', '방네개이상']",108동,0,23,0,24A01A1N5d91a5f4015183f361c3409697253fa92b5563fe95b52f3900d81617a87442eb,"11억 5,000","11억 5,000",bizmk,매경부동산,5,두산아이파크부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426088705,1147010300,신안약수,R0,A01,A01,아파트,A1,매매,OWNER,6/10,65000,0,"6억 5,000",82,68,남동향,24.05.28.,,,,37.516147,126.846879,"재건축 추진중,상태양호,계남산조망,신네역 도보가능,입주협의,가격조정가","['25년이상', '방두개', '화장실한개', '중층']",4동,0,20,0,27A01A1N5c06dae8e9782af089da4dd7074ddb24e501b59bf972984a9cf829f42b31e680,"6억 9,000","6억 5,000",bizmk,매경부동산,6,두산아이파크부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426071028,1147010300,신정뉴타운롯데캐슬,R0,A01,A01,아파트,B2,월세,OWNER,5/20,35000,60,"3억 5,000",79,59.94,동향,24.05.28.,,,,37.518283,126.847864,"25,선호타입 3베이,상태깨끗,안방붙박이장,입주협의,전세 가능","['15년이내', '융자금적은', '방세개', '화장실두개']",107동,0,6,0,23A01B2N91b6bfdaa72aaa17fa560c9b6e4cee86ddbb07f8c84dcd58b69b91fbb1517dee,4억,3억,bizmk,매경부동산,2,두산아이파크부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,40,60,
2426085242,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,OWNER,17/18,75000,0,"7억 5,000",77,52.85,남서향,24.05.28.,,,,37.517163,126.846212,"23,급매,확장,에어컨,해잘들고 밝은집,초품아,세안고 매매","['4년이내', '대단지', '급매', '방두개']",306동,0,23,0,25A01A1N973ff70c36d19c87dd222670259882a0f5a55ddeb91603b47a1028f736abd1c4,"7억 5,000","7억 5,000",bizmk,매경부동산,6,두산아이파크부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426080548,1147010300,신월신도1차,R0,A01,A01,아파트,B1,전세,OWNER,7/15,48000,0,"4억 8,000",100,80.19,동향,24.05.28.,,,,37.517867,126.846819,"30급전세  도배,장판, 교체중  올화이트톤 수리 선호타입 빠른입주가능","['25년이내', '융자금없는', '방세개', '화장실두개']",102동,0,7,0,28A01B1N47ed467e40d9866dcf76c8525265eb7559ea4a8c97d9d5bc3cdd6c5028e96ea6,"4억 8,000","4억 5,000",bizmk,매경부동산,3,부동산CAFE호공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
