atclNo,cortarNo,atclNm,atclStatCd,rletTpCd,uprRletTpCd,rletTpNm,tradTpCd,tradTpNm,vrfcTpCd,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,repImgUrl,repImgTpCd,repImgThumb,lat,lng,atclFetrDesc,tagList,bildNm,minute,sameAddrCnt,sameAddrDirectCnt,sameAddrHash,sameAddrMaxPrc,sameAddrMinPrc,cpid,cpNm,cpCnt,rltrNm,directTradYn,minMviFee,maxMviFee,etRoomCnt,tradePriceHan,tradeRentPrice,tradeCheckedByOwner,cpLinkVO,dtlAddrYn,dtlAddr,sameAddrMaxPrc2,sameAddrMinPrc2,sellrNm
2426709938,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,B1,전세,MOBL,4/16,43400,0,"4억 3,400",85,59.97,남동향,24.05.31.,/20240531_217/land_naver_1717131686793AiqQK_JPEG/2024053112492105554_41229_ws.jpg,10,f130_98,37.516088,126.841016,25급전세 방3화2 선호4베이구조 임대사업자,"['4년이내', '융자금없는', '대단지']",105동,0,3,0,23A01B1N05332b0f3eb278810d972fabb34d883f6193f0578dae69f7741509f0763f2a08,"4억 3,400","4억 3,400",asil,아실,3,부동산CAFE호공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'asil', 'mobileArticleUrl': 'https://asil.kr/app/sale_info.jsp?UID=', 'mobileArticleLinkTypeCode': 'ALL', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': True, 'mobileArticleLinkUseAtCpName': True}",N,,,,
2426754354,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,OWNER,2/15,105000,0,"10억 5,000",111,84.97,남동향,24.05.31.,,,,37.516869,126.841937,입주및 갭투추천 탁트인개방감  집상태 최상 에어컨 식세기 조명공사,"['4년이내', '대단지', '방세개', '화장실두개']",103동,0,30,0,23A01A1Ne30431217851ee06a6651a4daf07bdcba4f2784d0b3b15cfe129d82dccfacdd5,"10억 5,000","10억 5,000",bizmk,매경부동산,6,부동산랜드현대힐공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426761115,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,OWNER,19/23,108000,0,"10억 8,000",111,84.96,남동향,24.05.31.,,,,37.515771,126.842354,33남동 귀한포베이 시스템에어컨 확장 식세 조망채광굿,"['4년이내', '대단지', '방세개', '화장실두개']",203동,0,39,0,25A01A1N0070149e6136bb6011f643e597f7868c0528223595a9dd1939c91dad2ec150a5,"10억 8,000","10억 8,000",ten,텐컴즈,9,신곡공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'ten', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426787102,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,B2,월세,OWNER,15/16,30000,160,3억,110,84.98,남서향,24.05.31.,,,,37.516176,126.845508,"확장,에어컨,탁트인 거실뷰,보증금조절가능,입주협의","['4년이내', '대단지', '방세개', '화장실두개']",303동,0,31,0,25A01B2N3578bda401c8acf1867d7046ccd2066a11b882377877b3ccb9df31371a3365e3,3억,2억,SERVE,부동산써브,8,이안부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,160,200,
2426768869,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,B1,전세,OWNER,2/18,43000,0,"4억 3,000",77,52.85,남동향,24.05.31.,,,,37.517163,126.846212,집상태최상 화이트인테리어 조명공사완료 이사협의가능,"['4년이내', '대단지', '방두개', '화장실한개']",306동,0,24,0,24A01B1Nc524506f424eee090977ff831fe21c19707f5c9a0316b35f6b876f39ae464304,"4억 4,000","4억 3,000",bizmk,매경부동산,6,부동산랜드현대힐공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426759292,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,OWNER,1/17,100000,0,10억,111,84.97,남동향,24.05.31.,,,,37.516657,126.841312,"입주및갭투,확장,에어컨1,정원뷰예뻐요,생활편리선호단지,상태최상","['4년이내', '대단지', '1층', '방세개']",102동,0,24,0,23A01A1Nd112c12a0b92f8213b31e02403cd2d4593949760145c4bf9b29796940e8f21a1,"10억 1,000",10억,ten,텐컴즈,8,해뜨는부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'ten', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426769389,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,B1,전세,OWNER,12/23,60000,0,6억,111,84.97,남동향,24.05.31.,,,,37.515991,126.842975,신남초바로옆 공원조망 파노라마뷰 에2 이사협의  추.천.매.물.,"['4년이내', '대단지', '방세개', '화장실두개']",204동,0,35,0,25A01B1N8aa74d5695626f316c2100077f22d3911630db6ced1f6b7c1b3e84d5ae284ca6,6억,6억,bizmk,매경부동산,8,부동산랜드현대힐공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426786177,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,B1,전세,OWNER,14/21,60000,0,6억,110,84.97,남동향,24.05.31.,,,,37.517553,126.843391,"확장,에어컨,편의시설인접,시원하게 탁트인뷰,입주협의","['4년이내', '대단지', '방세개', '화장실두개']",404동,0,40,0,25A01B1Na245c307ca2bbca4f867a4ffb61b131b6ea4969990a7f0e4559d50148f62a184,6억,6억,SERVE,부동산써브,8,이안부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,,,
2426760942,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,OWNER,2/15,105000,0,"10억 5,000",110,84.98,남동향,24.05.31.,,,,37.516967,126.845094,33남동 확장 시스템5대 해잘드는예쁜저층뷰 입주및갭투 편의시설인접,"['4년이내', '대단지', '필로티', '방세개']",301동,0,20,0,24A01A1N37199efe07264cd59446406f3b97b9a09f6cf2f088af9e4718994b2fb1a4a64f,"10억 7,000","10억 5,000",bizmk,매경부동산,5,신곡공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426783920,1147010300,목동센트럴아이파크위브,R0,A01,A01,아파트,A1,매매,OWNER,3/18,100000,0,10억,110,84.98,남동향,24.05.31.,,,,37.516503,126.845958,"시스템에어컨4대,중문시공,탁트인뷰,채광굿,편의시설 인접","['4년이내', '대단지', '방세개', '화장실두개']",305동,0,50,0,24A01A1Nef2426a14612ccb424246d3cc28fb2e79d7bcd1ac14a54e0e7c5c4618982acc9,10억,10억,SERVE,부동산써브,8,이안부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,,,
